id;node;profile;pLoad;qLoad;sR;subnet;voltLvl
LV4.101 Load 1;LV4.101 Bus 18;H0-B;0.004;0.0016;0.0043;LV4.101;7
LV4.101 Load 30;LV4.101 Bus 16;H0-A;0.003;0.0012;0.0032;LV4.101;7
LV4.101 Load 11;LV4.101 Bus 2;G1-A;0.008;0.0031;0.0086;LV4.101;7
LV4.101 Load 17;LV4.101 Bus 31;H0-L;0.003;0.0012;0.0032;LV4.101;7
LV4.101 Load 18;LV4.101 Bus 29;H0-G;0.006;0.0024;0.0065;LV4.101;7
LV4.101 Load 20;LV4.101 Bus 17;H0-A;0.006;0.0024;0.0065;LV4.101;7
LV4.101 Load 4;LV4.101 Bus 8;H0-A;0.004;0.0016;0.0043;LV4.101;7
LV4.101 Load 16;LV4.101 Bus 19;H0-L;0.004;0.0016;0.0043;LV4.101;7
LV4.101 Load 22;LV4.101 Bus 13;H0-A;0.003;0.0012;0.0032;LV4.101;7
LV4.101 Load 6;LV4.101 Bus 22;H0-B;0.003;0.0012;0.0032;LV4.101;7
LV4.101 Load 19;LV4.101 Bus 26;H0-G;0.004;0.0016;0.0043;LV4.101;7
LV4.101 Load 24;LV4.101 Bus 9;H0-B;0.003;0.0012;0.0032;LV4.101;7
LV4.101 Load 25;LV4.101 Bus 23;H0-L;0.006;0.0024;0.0065;LV4.101;7
LV4.101 Load 27;LV4.101 Bus 33;H0-L;0.004;0.0016;0.0043;LV4.101;7
LV4.101 Load 12;LV4.101 Bus 20;H0-G;0.003;0.0012;0.0032;LV4.101;7
LV4.101 Load 23;LV4.101 Bus 24;H0-L;0.006;0.0024;0.0065;LV4.101;7
LV4.101 Load 29;LV4.101 Bus 6;H0-B;0.003;0.0012;0.0032;LV4.101;7
LV4.101 Load 14;LV4.101 Bus 5;H0-L;0.003;0.0012;0.0032;LV4.101;7
LV4.101 Load 26;LV4.101 Bus 5;H0-B;0.003;0.0012;0.0032;LV4.101;7
LV4.101 Load 31;LV4.101 Bus 21;H0-B;0.003;0.0012;0.0032;LV4.101;7
LV4.101 Load 33;LV4.101 Bus 3;H0-A;0.004;0.0016;0.0043;LV4.101;7
LV4.101 Load 2;LV4.101 Bus 15;H0-L;0.003;0.0012;0.0032;LV4.101;7
LV4.101 Load 3;LV4.101 Bus 15;H0-G;0.003;0.0012;0.0032;LV4.101;7
LV4.101 Load 5;LV4.101 Bus 4;H0-B;0.006;0.0024;0.0065;LV4.101;7
LV4.101 Load 21;LV4.101 Bus 11;H0-B;0.004;0.0016;0.0043;LV4.101;7
LV4.101 Load 32;LV4.101 Bus 7;H0-G;0.004;0.0016;0.0043;LV4.101;7
LV4.101 Load 7;LV4.101 Bus 34;H0-G;0.004;0.0016;0.0043;LV4.101;7
LV4.101 Load 9;LV4.101 Bus 25;H0-G;0.004;0.0016;0.0043;LV4.101;7
LV4.101 Load 10;LV4.101 Bus 1;H0-B;0.004;0.0016;0.0043;LV4.101;7
LV4.101 Load 13;LV4.101 Bus 14;H0-A;0.004;0.0016;0.0043;LV4.101;7
LV4.101 Load 28;LV4.101 Bus 12;H0-L;0.004;0.0016;0.0043;LV4.101;7
LV4.101 Load 8;LV4.101 Bus 10;H0-B;0.006;0.0024;0.0065;LV4.101;7
LV4.101 Load 15;LV4.101 Bus 30;H0-G;0.003;0.0012;0.0032;LV4.101;7
LV4.101 Load 34;LV4.101 Bus 36;G4-A;0.0169;0.0067;0.0182;LV4.101;7
LV4.101 Load 35;LV4.101 Bus 37;G2-A;0.011;0.0043;0.0118;LV4.101;7
LV4.101 Load 36;LV4.101 Bus 38;G4-A;0.011;0.0043;0.0118;LV4.101;7
LV4.101 Load 37;LV4.101 Bus 40;G6-A;0.0169;0.0067;0.0182;LV4.101;7
LV4.101 Load 38;LV4.101 Bus 41;G2-A;0.012;0.0047;0.0129;LV4.101;7
LV4.101 Load 39;LV4.101 Bus 42;G4-B;0.0179;0.0071;0.0193;LV4.101;7
LV4.101 Load 40;LV4.101 Bus 43;G1-A;0.0129;0.0051;0.0139;LV4.101;7
LV4.101 Load 41;LV4.101 Bus 44;G1-C;0.009;0.0035;0.0097;LV4.101;7
LV4.101 Load 42;LV4.101 Bus 38;Air_Semi-Parallel_2;0.003;0.0012;0.0032;LV4.101;7
LV4.101 Load 43;LV4.101 Bus 37;Soil_Alternative_2;0.002;0.0008;0.0022;LV4.101;7
LV4.101 Load 44;LV4.101 Bus 22;HLS_B_3.7;0.0037;0.0015;0.004;LV4.101;7
