,mean voltage p.u.,P,Q
2023-07-29 22:00:00,"1,0052548646650437",-11,0
2023-07-29 22:01:00,"1,0050348284032449",-11,0
2023-07-29 22:02:00,"1,0042097381557944",-11,0
2023-07-29 22:03:00,"1,0033294247825053",-11,0
2023-07-29 22:04:00,"1,0044301819147063",-11,0
2023-07-29 22:05:00,"1,0045946970902573",-11,0
2023-07-29 22:06:00,"1,003384723623725",-11,0
2023-07-29 22:07:00,"1,0030538389185186",-11,0
2023-07-29 22:08:00,"1,0030537843428402",-11,0
2023-07-29 22:09:00,"1,0038795290733775",-11,0
2023-07-29 22:10:00,"1,0040443078510268",-11,0
2023-07-29 22:11:00,"1,0040442943296888",-11,0
2023-07-29 22:12:00,"1,0040442943296888",-11,0
2023-07-29 22:13:00,"1,0040442943296883",-11,0
2023-07-29 22:14:00,"1,0040442943296886",-11,0
2023-07-29 22:15:00,"1,0041544497552382",-11,0
2023-07-29 22:16:00,"1,0047048645626764",-11,0
2023-07-29 22:17:00,"1,005255134481376",-11,0
2023-07-29 22:18:00,"1,0053650200537867",-11,0
2023-07-29 22:19:00,"1,0049248705333778",-11,0
2023-07-29 22:20:00,"1,0040442943296886",-11,0
2023-07-29 22:21:00,"1,0040442943296886",-11,0
2023-07-29 22:22:00,"1,0044845342359876",-11,0
2023-07-29 22:23:00,"1,0053650140485857",-11,0
2023-07-29 22:24:00,"1,0053650140485857",-11,0
2023-07-29 22:25:00,"1,0053650140485857",-11,0
2023-07-29 22:26:00,"1,0053650140485857",-11,0
2023-07-29 22:27:00,"1,0056952237806318",-11,0
2023-07-29 22:28:00,"1,006025314303389",-11,0
2023-07-29 22:29:00,"1,006025314303389",-11,0
2023-07-29 22:30:00,"1,006025314303389",-11,0
2023-07-29 22:31:00,"1,006025314303389",-11,0
2023-07-29 22:32:00,"1,0063004493436645",-11,0
2023-07-29 22:33:00,"1,0065755843839403",-11,0
2023-07-29 22:34:00,"1,0066856145581924",-11,0
2023-07-29 22:35:00,"1,0066856145581924",-11,0
2023-07-29 22:36:00,"1,0066856145581924",-11,0
2023-07-29 22:37:00,"1,0066856145581924",-11,0
2023-07-29 22:38:00,"1,0066856145581924",-11,0
2023-07-29 22:39:00,"1,0066856145581924",-11,0
2023-07-29 22:40:00,"1,006520628901459",-11,0
2023-07-29 22:41:00,"1,0063004493436645",-11,0
2023-07-29 22:42:00,"1,006025314303389",-11,0
2023-07-29 22:43:00,"1,0056952237806318",-11,0
2023-07-29 22:44:00,"1,0056952237806318",-11,0
2023-07-29 22:45:00,"1,0059703588209077",-11,0
2023-07-29 22:46:00,"1,006025314303389",-11,0
2023-07-29 22:47:00,"1,006025314303389",-11,0
2023-07-29 22:48:00,"1,0063555240354356",-11,0
2023-07-29 22:49:00,"1,0063555240354356",-11,0
2023-07-29 22:50:00,"1,0063555240354356",-11,0
2023-07-29 22:51:00,"1,0058052539548843",-11,0
2023-07-29 22:52:00,"1,005034804316539",-11,0
2023-07-29 22:53:00,"1,005034804316539",-11,0
2023-07-29 22:54:00,"1,0053650140485857",-11,0
2023-07-29 22:55:00,"1,0056952237806318",-11,0
2023-07-29 22:56:00,"1,006025314303389",-11,0
2023-07-29 22:57:00,"1,0047047137937817",-11,0
2023-07-29 22:58:00,"1,0053650140485857",-11,0
2023-07-29 22:59:00,"1,0056952237806318",-11,0
2023-07-29 23:00:00,"1,0056952237806318",-11,0
2023-07-29 23:01:00,"1,0063555240354356",-11,0
2023-07-29 23:02:00,"1,0070159434995287",-11,0
2023-07-29 23:03:00,"1,0076762437543323",-11,0
2023-07-29 23:04:00,"1,0082814693173652",-11,0
2023-07-29 23:05:00,"1,0081164836606311",-11,0
2023-07-29 23:06:00,"1,0076762437543323",-11,0
2023-07-29 23:07:00,"1,0076762437543323",-11,0
2023-07-29 23:08:00,"1,0076762437543323",-11,0
2023-07-29 23:09:00,"1,007731199236814",-11,0
2023-07-29 23:10:00,"1,0080063342770893",-11,0
2023-07-29 23:11:00,"1,0080063342770893",-11,0
2023-07-29 23:12:00,"1,0081164836606311",-11,0
2023-07-29 23:13:00,"1,0080063342770893",-11,0
2023-07-29 23:14:00,"1,0080063342770893",-11,0
2023-07-29 23:15:00,"1,0081714391431127",-11,0
2023-07-29 23:16:00,"1,0087217092236642",-11,0
2023-07-29 23:17:00,"1,0089968442639397",-11,0
2023-07-29 23:18:00,"1,0089968442639397",-11,0
2023-07-29 23:19:00,"1,0089968442639397",-11,0
2023-07-29 23:20:00,"1,0089994974173555",-11,0
2023-07-29 23:21:00,"1,0089968442674282",-11,0
2023-07-29 23:22:00,"1,0096023706236923",-11,0
2023-07-29 23:23:00,"1,0099874276521594",-11,0
2023-07-29 23:24:00,"1,009987354250793",-11,0
2023-07-29 23:25:00,"1,0099873542507898",-11,0
2023-07-29 23:26:00,"1,0098222628797953",-11,0
2023-07-29 23:27:00,"1,0096571580181846",-11,0
2023-07-29 23:28:00,"1,0096571445187432",-11,0
2023-07-29 23:29:00,"1,0096571445187432",-11,0
2023-07-29 23:30:00,"1,0096571445187432",-11,0
2023-07-29 23:31:00,"1,0096571445187432",-11,0
