,mean voltage p.u.,P,Q
2023-07-07 22:00:00,"1,0091069936474817",-11,0
2023-07-07 22:01:00,"1,009547329584814",-11,0
2023-07-07 22:02:00,"1,0097673178656494",-11,0
2023-07-07 22:03:00,"1,0086673535038069",-11,0
2023-07-07 22:04:00,"1,007566695546031",-11,0
2023-07-07 22:05:00,"1,0061914781718475",-11,0
2023-07-07 22:06:00,"1,0057502760363075",-11,0
2023-07-07 22:07:00,"1,0052000597684885",-11,0
2023-07-07 22:08:00,"1,0050349370902816",-11,0
2023-07-07 22:09:00,"1,0050349235258285",-11,0
2023-07-07 22:10:00,"1,0050349235258282",-11,0
2023-07-07 22:11:00,"1,0050898805107975",-11,0
2023-07-07 22:12:00,"1,0053650517061448",-11,0
2023-07-07 22:13:00,"1,0055301324654993",-11,0
2023-07-07 22:14:00,"1,0056952373332555",-11,0
2023-07-07 22:15:00,"1,005860222968202",-11,0
2023-07-07 22:16:00,"1,0070166074535836",-11,0
2023-07-07 22:17:00,"1,007346087905143",-11,0
2023-07-07 22:18:00,"1,007566118395724",-11,0
2023-07-07 22:19:00,"1,0076762497725948",-11,0
2023-07-07 22:20:00,"1,0076762437543323",-11,0
2023-07-07 22:21:00,"1,0076762437543323",-11,0
2023-07-07 22:22:00,"1,0076762437543323",-11,0
2023-07-07 22:23:00,"1,0076762437543323",-11,0
2023-07-07 22:24:00,"1,0076762437543323",-11,0
2023-07-07 22:25:00,"1,0076762437543323",-11,0
2023-07-07 22:26:00,"1,0076762437543323",-11,0
2023-07-07 22:27:00,"1,0076762437543323",-11,0
2023-07-07 22:28:00,"1,0080064534863793",-11,0
2023-07-07 22:29:00,"1,0086667537411826",-11,0
2023-07-07 22:30:00,"1,009161949129963",-11,0
2023-07-07 22:31:00,"1,0099873542507898",-11,0
2023-07-07 22:32:00,"1,0095472335537805",-11,0
2023-07-07 22:33:00,"1,009161949129963",-11,0
2023-07-07 22:34:00,"1,0089968442639397",-11,0
2023-07-07 22:35:00,"1,0089968442639397",-11,0
2023-07-07 22:36:00,"1,0093270539959862",-11,0
2023-07-07 22:37:00,"1,0106475074864647",-11,66332
2023-07-07 22:38:00,"1,0109776423337091",-11,100151
2023-07-07 22:39:00,"1,0114177824786614",-11,145240
2023-07-07 22:40:00,"1,0113077772298518",-11,133971
2023-07-07 22:41:00,"1,0109776423337091",-11,100151
2023-07-07 22:42:00,"1,0109776423337091",-11,100151
2023-07-07 22:43:00,"1,0107576318849452",-11,77613
2023-07-07 22:44:00,"1,0100974814868786",-11,9987
2023-07-07 22:45:00,"1,0099873542507898",-11,0
2023-07-07 22:46:00,"1,0100974814868786",-11,9987
2023-07-07 22:47:00,"1,010317491870395",-11,32525
2023-07-07 22:48:00,"1,010317491870395",-11,32525
2023-07-07 22:49:00,"1,010317491870395",-11,32525
2023-07-07 22:50:00,"1,010317491870395",-11,32525
2023-07-07 22:51:00,"1,010317491870395",-11,32525
2023-07-07 22:52:00,"1,010317491870395",-11,32525
2023-07-07 22:53:00,"1,0104274970703144",-11,43794
2023-07-07 22:54:00,"1,0108126940862272",-11,83254
2023-07-07 22:55:00,"1,0109776423337091",-11,100151
2023-07-07 22:56:00,"1,0115277877328934",-11,156509
2023-07-07 22:57:00,"1,0126281981200955",-11,269236
2023-07-07 22:58:00,"1,0129582140776243",-11,303043
2023-07-07 22:59:00,"1,0129582140776243",-11,303043
2023-07-07 23:00:00,"1,0131232816657978",-11,319953
2023-07-07 23:01:00,"1,0132883492661178",-11,336863
2023-07-07 23:02:00,"1,0132883492661178",-11,336863
2023-07-07 23:03:00,"1,0132332870038667",-11,331222
2023-07-07 23:04:00,"1,0129582140776243",-11,303043
2023-07-07 23:05:00,"1,0108676371066116",-11,88882
2023-07-07 23:06:00,"1,0101524244896072",-11,15615
2023-07-07 23:07:00,"1,009052038165",-11,0
2023-07-07 23:08:00,"1,0096572637280328",-11,0
