,mean voltage p.u.,P,Q
2023-08-10 22:00:00,"1,0093269347866969",-11,0
2023-08-10 22:01:00,"1,0081721005592192",-11,0
2023-08-10 22:02:00,"1,0077862285926902",-11,0
2023-08-10 22:03:00,"1,0061916826356327",-11,0
2023-08-10 22:04:00,"1,004870567893165",-11,0
2023-08-10 22:05:00,"1,0040445149278512",-11,0
2023-08-10 22:06:00,"1,001735725264196",-11,0
2023-08-10 22:07:00,"1,0017330646274754",-11,0
2023-08-10 22:08:00,"1,0017330646239415",-11,0
2023-08-10 22:09:00,"1,0021732820065028",-11,0
2023-08-10 22:10:00,"1,0023933890444618",-11,0
2023-08-10 22:11:00,"1,003163991285282",-11,0
2023-08-10 22:12:00,"1,003714235421762",-11,0
2023-08-10 22:13:00,"1,003714084597653",-11,0
2023-08-10 22:14:00,"1,0037691608004118",-11,0
2023-08-10 22:15:00,"1,0033839488095146",-11,0
2023-08-10 22:16:00,"1,0033838748655983",-11,0
2023-08-10 22:17:00,"1,0033838748655957",-11,0
2023-08-10 22:18:00,"1,003494030295122",-11,0
2023-08-10 22:19:00,"1,003273749664664",-11,0
2023-08-10 22:20:00,"1,0030536651335489",-11,0
2023-08-10 22:21:00,"1,0031636953078011",-11,0
2023-08-10 22:22:00,"1,003714084597642",-11,0
2023-08-10 22:23:00,"1,003714084597642",-11,0
2023-08-10 22:24:00,"1,003714084597642",-11,0
2023-08-10 22:25:00,"1,003493905039848",-11,0
2023-08-10 22:26:00,"1,0033838748655954",-11,0
2023-08-10 22:27:00,"1,0033838748655954",-11,0
2023-08-10 22:28:00,"1,0039341449461467",-11,0
2023-08-10 22:29:00,"1,0042644738874829",-11,0
2023-08-10 22:30:00,"1,0047047137937817",-11,0
2023-08-10 22:31:00,"1,0047047137937817",-11,0
2023-08-10 22:32:00,"1,0047047137937817",-11,0
2023-08-10 22:33:00,"1,0047047137937817",-11,0
2023-08-10 22:34:00,"1,004209399195712",-11,0
2023-08-10 22:35:00,"1,003714084597642",-11,0
2023-08-10 22:36:00,"1,003714084597642",-11,0
2023-08-10 22:37:00,"1,0041543245039408",-11,0
2023-08-10 22:38:00,"1,0043743848524458",-11,0
2023-08-10 22:39:00,"1,0043743848524458",-11,0
2023-08-10 22:40:00,"1,0046496391020108",-11,0
2023-08-10 22:41:00,"1,0047045945844923",-11,0
2023-08-10 22:42:00,"1,0047045945844923",-11,0
2023-08-10 22:43:00,"1,0047045945844923",-11,0
2023-08-10 22:44:00,"1,0048146247587448",-11,0
2023-08-10 22:45:00,"1,0050346851072494",-11,0
2023-08-10 22:46:00,"1,0050346851072494",-11,0
2023-08-10 22:47:00,"1,0050346851072494",-11,0
2023-08-10 22:48:00,"1,0050346851072494",-11,0
2023-08-10 22:49:00,"1,0052548646650437",-11,0
2023-08-10 22:50:00,"1,0053648948392957",-11,0
2023-08-10 22:51:00,"1,0051997899732723",-11,0
2023-08-10 22:52:00,"1,0048696994505155",-11,0
2023-08-10 22:53:00,"1,0049798488340576",-11,0
2023-08-10 22:54:00,"1,005034804316539",-11,0
2023-08-10 22:55:00,"1,005034804316539",-11,0
2023-08-10 22:56:00,"1,005034804316539",-11,0
2023-08-10 22:57:00,"1,005034804316539",-11,0
2023-08-10 22:58:00,"1,005034804316539",-11,0
2023-08-10 22:59:00,"1,0056951045713427",-11,0
2023-08-10 23:00:00,"1,0056951045713427",-11,0
2023-08-10 23:01:00,"1,0058051347455947",-11,0
2023-08-10 23:02:00,"1,006025314303389",-11,0
2023-08-10 23:03:00,"1,0063004493436645",-11,0
2023-08-10 23:04:00,"1,0062453746518938",-11,0
2023-08-10 23:05:00,"1,0056951045713427",-11,0
2023-08-10 23:06:00,"1,0053650140485857",-11,0
2023-08-10 23:07:00,"1,0053650140485857",-11,0
2023-08-10 23:08:00,"1,0053650140485857",-11,0
2023-08-10 23:09:00,"1,0056951045713427",-11,0
2023-08-10 23:10:00,"1,006025314303389",-11,0
2023-08-10 23:11:00,"1,006025314303389",-11,0
2023-08-10 23:12:00,"1,006355404826146",-11,0
2023-08-10 23:13:00,"1,006355404826146",-11,0
2023-08-10 23:14:00,"1,006355404826146",-11,0
2023-08-10 23:15:00,"1,0065754651746508",-11,0
2023-08-10 23:16:00,"1,0070157050809496",-11,0
2023-08-10 23:17:00,"1,0075659751615007",-11,0
2023-08-10 23:18:00,"1,0080063342770893",-11,0
2023-08-10 23:19:00,"1,0080063342770893",-11,0
2023-08-10 23:20:00,"1,008017496413606",-11,0
2023-08-10 23:21:00,"1,0078961921932648",-11,0
2023-08-10 23:22:00,"1,0076760293869669",-11,0
2023-08-10 23:23:00,"1,0076760053357536",-11,0
2023-08-10 23:24:00,"1,0076760053357534",-11,0
2023-08-10 23:25:00,"1,0076760053357532",-11,0
2023-08-10 23:26:00,"1,0082816512144388",-11,0
2023-08-10 23:27:00,"1,0083364262875985",-11,0
2023-08-10 23:28:00,"1,0083364247998463",-11,0
2023-08-10 23:29:00,"1,0073465204045426",-11,0
2023-08-10 23:30:00,"1,0077862506536766",-11,0
2023-08-10 23:31:00,"1,0080063583083765",-11,0
2023-08-10 23:32:00,"1,0075111413847786",-11,0
2023-08-10 23:33:00,"1,007015826894556",-11,0
2023-08-10 23:34:00,"1,0059157664281602",-11,0
2023-08-10 23:35:00,"1,0056951287739926",-11,0
2023-08-10 23:36:00,"1,0074574864453152",-11,0
2023-08-10 23:37:00,"1,0086672407878692",-11,0
2023-08-10 23:38:00,"1,008556491229054",-11,0
2023-08-10 23:39:00,"1,0081163413281566",-11,0
2023-08-10 23:40:00,"1,008675686396783",-11,0
2023-08-10 23:41:00,"1,0092170498113229",-11,0
2023-08-10 23:42:00,"1,0093269407689125",-11,0
2023-08-10 23:43:00,"1,009492172384396",-11,0
2023-08-10 23:44:00,"1,0096571579986915",-11,0
2023-08-10 23:45:00,"1,0096571445187432",-11,0
2023-08-10 23:46:00,"1,0098222628842088",-11,0
2023-08-10 23:47:00,"1,0106478015915326",-11,66362
2023-08-10 23:48:00,"1,0106476823551398",-11,66350
2023-08-10 23:49:00,"1,0100975563961594",-11,10025
2023-08-10 23:50:00,"1,0108131973122334",-11,83357
2023-08-10 23:51:00,"1,0113084921586013",-11,134069
2023-08-10 23:52:00,"1,011528504993068",-11,156587
2023-08-10 23:53:00,"1,0119689165207613",-11,201718
2023-08-10 23:54:00,"1,0117486152454624",-11,179136
2023-08-10 23:55:00,"1,0113083474637243",-11,134049
2023-08-10 23:56:00,"1,010978140180947",-11,100213
2023-08-10 23:57:00,"1,0109780862422806",-11,100197
2023-08-10 23:58:00,"1,0108129574139866",-11,83284
2023-08-10 23:59:00,"1,0106478150868752",-11,66366
2023-08-11 00:00:00,"1,010647801663335",-11,66361
2023-08-11 00:01:00,"1,0106478015914775",-11,66362
2023-08-11 00:02:00,"1,0106478015914775",-11,66362
2023-08-11 00:03:00,"1,010372641566898",-11,38182
2023-08-11 00:04:00,"1,010317637625646",-11,32540
2023-08-11 00:05:00,"1,0103176361280368",-11,32539
2023-08-11 00:06:00,"1,0103176361280368",-11,32539
2023-08-11 00:07:00,"1,0103176361280368",-11,32539
2023-08-11 00:08:00,"1,0103176361280368",-11,32539
2023-08-11 00:09:00,"1,0103176361280368",-11,32539
2023-08-11 00:10:00,"1,0102074677348838",-11,21255
2023-08-11 00:11:00,"1,0099872350415005",-11,0
2023-08-11 00:12:00,"1,0099872350415002",-11,0
2023-08-11 00:13:00,"1,0098222628603166",-11,0
2023-08-11 00:14:00,"1,0098222493847668",-11,0
2023-08-11 00:15:00,"1,0116935040918136",-11,173485
2023-08-11 00:16:00,"1,012299167110458",-11,235567
2023-08-11 00:17:00,"1,0116387517750445",-11,167920
2023-08-11 00:18:00,"1,0113083056069174",-11,134036
2023-08-11 00:19:00,"1,010482877219944",-11,49536
2023-08-11 00:20:00,"1,0106478015969478",-11,66362
2023-08-11 00:21:00,"1,0116390218779858",-11,168003
2023-08-11 00:22:00,"1,0116385361608935",-11,167854
2023-08-11 00:23:00,"1,0116385361607771",-11,167854
2023-08-11 00:24:00,"1,0118036919010978",-11,184776
2023-08-11 00:25:00,"1,0119688341426405",-11,201693
2023-08-11 00:26:00,"1,0119688206648787",-11,201689
2023-08-11 00:27:00,"1,0119688206648787",-11,201689
2023-08-11 00:28:00,"1,0116936607543698",-11,173509
2023-08-11 00:29:00,"1,011638537662917",-11,167854
2023-08-11 00:30:00,"1,0116385361607771",-11,167854
2023-08-11 00:31:00,"1,0116385361607767",-11,167854
2023-08-11 00:32:00,"1,0116385361607767",-11,167854
2023-08-11 00:33:00,"1,0117484779939696",-11,179118
2023-08-11 00:34:00,"1,0116385421355585",-11,167856
2023-08-11 00:35:00,"1,0114184499074024",-11,145313
2023-08-11 00:36:00,"1,010978182129496",-11,100226
2023-08-11 00:37:00,"1,0109780862422837",-11,100197
2023-08-11 00:38:00,"1,010978086242279",-11,100197
2023-08-11 00:39:00,"1,0110880281119248",-11,111461
2023-08-11 00:40:00,"1,0109780862496551",-11,100196
2023-08-11 00:41:00,"1,0113083055327887",-11,134036
2023-08-11 00:42:00,"1,0118587961229124",-11,190448
2023-08-11 00:43:00,"1,0119687073987649",-11,201678
2023-08-11 00:44:00,"1,011968701428605",-11,201677
2023-08-11 00:45:00,"1,0120788817420774",-11,212965
2023-08-11 00:46:00,"1,0119688266506723",-11,201691
2023-08-11 00:47:00,"1,0119688206648787",-11,201689
2023-08-11 00:48:00,"1,0116936607543698",-11,173509
2023-08-11 00:49:00,"1,011638537662917",-11,167854
2023-08-11 00:50:00,"1,0116385361607767",-11,167854
2023-08-11 00:51:00,"1,0116385361607767",-11,167854
2023-08-11 00:52:00,"1,0116385361607767",-11,167854
2023-08-11 00:53:00,"1,0116385361607767",-11,167854
2023-08-11 00:54:00,"1,011088291128193",-11,111517
2023-08-11 00:55:00,"1,011418360588988",-11,145310
2023-08-11 00:56:00,"1,0122993693439426",-11,235629
2023-08-11 00:57:00,"1,0117486219534573",-11,179162
2023-08-11 00:58:00,"1,0116385421512144",-11,167856
2023-08-11 00:59:00,"1,0116385361607767",-11,167854
2023-08-11 01:00:00,"1,0116391971572198",-11,168057
2023-08-11 01:01:00,"1,011638536160993",-11,167854
2023-08-11 01:02:00,"1,0116385361607767",-11,167854
2023-08-11 01:03:00,"1,011528367825087",-11,156569
2023-08-11 01:04:00,"1,010923180246912",-11,94609
2023-08-11 01:05:00,"1,0104278127438246",-11,43851
2023-08-11 01:06:00,"1,0099872350415044",-11,0
2023-08-11 01:07:00,"1,0099872350415005",-11,0
2023-08-11 01:08:00,"1,0110880221334035",-11,111459
2023-08-11 01:09:00,"1,0116386860658966",-11,167900
2023-08-11 01:10:00,"1,011638536160788",-11,167854
2023-08-11 01:11:00,"1,0114734073725762",-11,150941
2023-08-11 01:12:00,"1,011308265094391",-11,134023
2023-08-11 01:13:00,"1,0110880461209677",-11,111466
2023-08-11 01:14:00,"1,0106478974581437",-11,66391
2023-08-11 01:15:00,"1,0106478015914822",-11,66362
2023-08-11 01:16:00,"1,0106478015914775",-11,66362
2023-08-11 01:17:00,"1,0115838821980798",-11,162344
2023-08-11 01:18:00,"1,0114183202725286",-11,145298
2023-08-11 01:19:00,"1,0111431467645051",-11,117113
2023-08-11 01:20:00,"1,0107578627272285",-11,77638
2023-08-11 01:21:00,"1,0107028902774509",-11,72006
2023-08-11 01:22:00,"1,0109781237162143",-11,100208
2023-08-11 01:23:00,"1,0117487655820874",-11,179206
2023-08-11 01:24:00,"1,0131806767802352",-11,326040
2023-08-11 01:25:00,"1,0132897255904274",-11,337005
2023-08-11 01:26:00,"1,013289719721258",-11,337003
2023-08-11 01:27:00,"1,013289719721258",-11,337003
2023-08-11 01:28:00,"1,013289719721258",-11,337003
2023-08-11 01:29:00,"1,013289719721258",-11,337003
2023-08-11 01:30:00,"1,013289719721258",-11,337003
2023-08-11 01:31:00,"1,013454875317786",-11,353925
2023-08-11 01:32:00,"1,01328973318143",-11,337007
2023-08-11 01:33:00,"1,013289719721258",-11,337003
2023-08-11 01:34:00,"1,0129594892527738",-11,303185
2023-08-11 01:35:00,"1,012959435412075",-11,303168
2023-08-11 01:36:00,"1,0129594354120737",-11,303168
2023-08-11 01:37:00,"1,0129044690050413",-11,297538
2023-08-11 01:38:00,"1,0130145285258163",-11,308813
2023-08-11 01:39:00,"1,0132897571083646",-11,337015
2023-08-11 01:40:00,"1,0139543404591598",-11,405919
2023-08-11 01:41:00,"1,0138950835789795",-11,399018
2023-08-11 01:42:00,"1,012959867229844",-11,303301
2023-08-11 01:43:00,"1,0127393493500707",-11,280627
2023-08-11 01:44:00,"1,0132898693037962",-11,337049
2023-08-11 01:45:00,"1,0132897197212694",-11,337003
2023-08-11 01:46:00,"1,0132897197212585",-11,337003
2023-08-11 01:47:00,"1,0130145599242988",-11,308823
2023-08-11 01:48:00,"1,0126293435775453",-11,269368
2023-08-11 01:49:00,"1,012629270290465",-11,269346
2023-08-11 01:50:00,"1,012629270290462",-11,269346
2023-08-11 01:51:00,"1,0127944259444253",-11,286267
2023-08-11 01:52:00,"1,013289840857173",-11,337040
2023-08-11 01:53:00,"1,0132897197212654",-11,337003
2023-08-11 01:54:00,"1,0132897197212585",-11,337003
2023-08-11 01:55:00,"1,0132897197212578",-11,337003
2023-08-11 01:56:00,"1,013289719721258",-11,337003
2023-08-11 01:57:00,"1,0139505035565153",-11,404739
2023-08-11 01:58:00,"1,0139502881938394",-11,404673
2023-08-11 01:59:00,"1,0121903419818972",-11,224693
2023-08-11 02:00:00,"1,0106479229504486",-11,66399
2023-08-11 02:01:00,"1,010647801591485",-11,66362
2023-08-11 02:02:00,"1,0106478015914775",-11,66362
2023-08-11 02:03:00,"1,0089968442646515",-11,0
2023-08-11 02:04:00,"1,0086665693947303",-11,0
2023-08-11 02:05:00,"1,0086665153226049",-11,0
2023-08-11 02:06:00,"1,0088317529301367",-11,0
2023-08-11 02:07:00,"1,0089967385434218",-11,0
2023-08-11 02:08:00,"1,00899672505465",-11,0
2023-08-11 02:09:00,"1,0089967250546503",-11,0
2023-08-11 02:10:00,"1,0093268695715134",-11,0
2023-08-11 02:11:00,"1,0092718615939658",-11,0
2023-08-11 02:12:00,"1,0089967625569911",-11,0
2023-08-11 02:13:00,"1,0091068804464502",-11,0
2023-08-11 02:14:00,"1,009657294547722",-11,0
2023-08-11 02:15:00,"1,0096571445187543",-11,0
2023-08-11 02:16:00,"1,0099874082485587",-11,0
2023-08-11 02:17:00,"1,0099873542507911",-11,0
2023-08-11 02:18:00,"1,0099873542507898",-11,0
2023-08-11 02:19:00,"1,0099873542507898",-11,0
2023-08-11 02:20:00,"1,0084465741944806",-11,0
2023-08-11 02:21:00,"1,00833643081548",-11,0
2023-08-11 02:22:00,"1,0094375655419496",-11,0
2023-08-11 02:23:00,"1,0096571684008184",-11,0
2023-08-11 02:24:00,"1,0096571445187434",-11,0
2023-08-11 02:25:00,"1,0096571445187432",-11,0
2023-08-11 02:26:00,"1,0096571445187432",-11,0
2023-08-11 02:27:00,"1,0096571445187432",-11,0
2023-08-11 02:28:00,"1,0097672999107044",-11,0
2023-08-11 02:29:00,"1,0099873782285482",-11,0
2023-08-11 02:30:00,"1,0099873542507902",-11,0
2023-08-11 02:31:00,"1,00998735425079",-11,0
2023-08-11 02:32:00,"1,0099873542507898",-11,0
2023-08-11 02:33:00,"1,0097122566858798",-11,0
2023-08-11 02:34:00,"1,009657146022811",-11,0
2023-08-11 02:35:00,"1,0096571445187432",-11,0
2023-08-11 02:36:00,"1,0096571445187432",-11,0
2023-08-11 02:37:00,"1,0096571445187432",-11,0
2023-08-11 02:38:00,"1,0095470011436205",-11,0
2023-08-11 02:39:00,"1,0083370315516662",-11,0
2023-08-11 02:40:00,"1,0083363056590602",-11,1
2023-08-11 02:41:00,"1,0084464609903812",-11,0
2023-08-11 02:42:00,"1,0089418912100545",-11,0
2023-08-11 02:43:00,"1,0086665529025078",-11,0
2023-08-11 02:44:00,"1,0086665153226044",-11,0
2023-08-11 02:45:00,"1,0086665153226035",-11,0
2023-08-11 02:46:00,"1,0086665153226035",-11,0
2023-08-11 02:47:00,"1,0086665153226035",-11,0
2023-08-11 02:48:00,"1,0086665153226035",-11,0
2023-08-11 02:49:00,"1,0086665153226035",-11,0
2023-08-11 02:50:00,"1,0085566103459531",-11,0
2023-08-11 02:51:00,"1,0082813876707657",-11,0
2023-08-11 02:52:00,"1,0080062526168228",-11,0
2023-08-11 02:53:00,"1,0080062150678006",-11,0
2023-08-11 02:54:00,"1,0080062150677995",-11,0
2023-08-11 02:55:00,"1,0080062150678",-11,0
2023-08-11 02:56:00,"1,0080062150678",-11,0
2023-08-11 02:57:00,"1,0080062150678",-11,0
2023-08-11 02:58:00,"1,0080062150678",-11,0
2023-08-11 02:59:00,"1,0080062150678",-11,0
2023-08-11 03:00:00,"1,007676005381406",-11,2
2023-08-11 03:01:00,"1,0073459688778856",-11,0
2023-08-11 03:02:00,"1,007455950990521",-11,0
2023-08-11 03:03:00,"1,0080063653426354",-11,0
2023-08-11 03:04:00,"1,0073461311781493",-11,0
2023-08-11 03:05:00,"1,0058611863347853",-11,0
2023-08-11 03:06:00,"1,0047052595393065",-11,0
2023-08-11 03:07:00,"1,0047045945847124",-11,0
2023-08-11 03:08:00,"1,0047045945844926",-11,0
2023-08-11 03:09:00,"1,0047045945844926",-11,0
2023-08-11 03:10:00,"1,0049247982683025",-11,0
2023-08-11 03:11:00,"1,0053651104687025",-11,0
2023-08-11 03:12:00,"1,0054199710277951",-11,0
2023-08-11 03:13:00,"1,0059703901932275",-11,0
2023-08-11 03:14:00,"1,006025315802766",-11,0
2023-08-11 03:15:00,"1,006025314303389",-11,0
2023-08-11 03:16:00,"1,006025314303389",-11,0
2023-08-11 03:17:00,"1,005695158764048",-11,0
2023-08-11 03:18:00,"1,0050349019848228",-11,0
2023-08-11 03:19:00,"1,0043746019010682",-11,0
2023-08-11 03:20:00,"1,0048208959338116",-11,0
2023-08-11 03:21:00,"1,005034827085172",-11,0
2023-08-11 03:22:00,"1,0050348043165394",-11,0
2023-08-11 03:23:00,"1,005034804316539",-11,0
2023-08-11 03:24:00,"1,005034804316539",-11,0
2023-08-11 03:25:00,"1,0053099770168488",-11,0
2023-08-11 03:26:00,"1,0052548661757077",-11,0
2023-08-11 03:27:00,"1,003825132946314",-11,0
2023-08-11 03:28:00,"1,0032738769278493",-11,0
2023-08-11 03:29:00,"1,0037141811728627",-11,0
2023-08-11 03:30:00,"1,0037140845976464",-11,0
2023-08-11 03:31:00,"1,003714084597642",-11,0
2023-08-11 03:32:00,"1,0037140845976422",-11,0
2023-08-11 03:33:00,"1,0037140845976422",-11,0
2023-08-11 03:34:00,"1,0026140287113836",-11,0
2023-08-11 03:35:00,"1,0020633064819462",-11,0
2023-08-11 03:36:00,"1,00206315514671",-11,0
2023-08-11 03:37:00,"1,0026135763141153",-11,0
2023-08-11 03:38:00,"1,0023933890620782",-11,0
2023-08-11 03:39:00,"1,0014033442995232",-11,0
2023-08-11 03:40:00,"1,0011121064026909",-11,0
2023-08-11 03:41:00,"1,0012377579102634",-11,0
2023-08-11 03:42:00,"1,001402868503554",-11,0
2023-08-11 03:43:00,"1,0014028548918952",-11,0
2023-08-11 03:44:00,"1,0014028548918952",-11,0
2023-08-11 03:45:00,"1,0009628309123189",-11,0
2023-08-11 03:46:00,"1,0007425788745736",-11,0
2023-08-11 03:47:00,"1,0007425546370918",-11,0
2023-08-11 03:48:00,"1,001072818847918",-11,0
2023-08-11 03:49:00,"1,0014029092954253",-11,0
2023-08-11 03:50:00,"1,0014028548918965",-11,0
2023-08-11 03:51:00,"1,001402854891895",-11,0
2023-08-11 03:52:00,"1,0014028548918952",-11,0
2023-08-11 03:53:00,"1,0010728187726945",-11,0
2023-08-11 03:54:00,"0,9996430369794956",-10,0
2023-08-11 03:55:00,"0,9990918964115136",-10,0
2023-08-11 03:56:00,"0,9991467609889098",-10,0
2023-08-11 03:57:00,"0,9984315810742717",-10,0
2023-08-11 03:58:00,"0,9971115385974254",-10,0
2023-08-11 03:59:00,"0,9971106648174752",-10,0
2023-08-11 04:00:00,"0,9958639710564368",-10,0
2023-08-11 04:01:00,"0,9950200321725929",-10,0
2023-08-11 04:02:00,"0,9944694969758798",-10,0
2023-08-11 04:03:00,"0,9943593801162346",-10,0
2023-08-11 04:04:00,"0,9929295939444052",-10,0
2023-08-11 04:05:00,"0,9971195874453804",-10,0
2023-08-11 04:06:00,"0,9990936947146797",-10,0
2023-08-11 04:07:00,"0,9981566297474157",-10,0
2023-08-11 04:08:00,"0,9981011167430764",-10,0
2023-08-11 04:09:00,"0,9981011151992976",-10,0
2023-08-11 04:10:00,"0,9992022621068648",-10,0
2023-08-11 04:11:00,"1,0001926556925749",-11,0
2023-08-11 04:12:00,"1,0012934297870144",-11,0
2023-08-11 04:13:00,"1,0006327425786452",-11,0
2023-08-11 04:14:00,"1,0004124883602938",-11,0
2023-08-11 04:15:00,"0,9997523817838626",-10,0
2023-08-11 04:16:00,"0,9992821520077568",32066247,2306
2023-08-11 04:17:00,"0,9994282579617786",89388295,1295791
2023-08-11 04:18:00,"0,9996527948535489",93555871,1370480
2023-08-11 04:19:00,"0,9996212120754456",99782503,2197078
2023-08-11 04:20:00,"0,9986000737716265",104081879,24334
2023-08-11 04:21:00,"0,9980417217394798",109956043,2141247
2023-08-11 04:22:00,"0,9980616325698812",116055112,93
2023-08-11 04:23:00,"0,9978569058690989",121019413,1253863
2023-08-11 04:24:00,"0,9974426576533794",125731914,7478511
2023-08-11 04:25:00,"0,9974441417382509",129383646,4109265
2023-08-11 04:26:00,"0,9976175578063694",135194690,1347554
2023-08-11 04:27:00,"0,9983518748419813",142314224,1876346
2023-08-11 04:28:00,"0,9984792963209261",149680515,1541874
2023-08-11 04:29:00,"0,998495055008988",157363586,138
2023-08-11 04:30:00,"0,9983521297826062",166171893,176
2023-08-11 04:31:00,"0,9965601926056364",174758022,190
2023-08-11 04:32:00,"0,9962455204755366",181509671,106
2023-08-11 04:33:00,"0,9955964354710504",186737386,1052395
2023-08-11 04:34:00,"0,9956143242332544",193011669,91
2023-08-11 04:35:00,"0,995630545681072",199477608,94
2023-08-11 04:36:00,"0,9946042773705694",206765097,134
2023-08-11 04:37:00,"0,9943407256902492",211522856,53
2023-08-11 04:38:00,"0,9949082601779443",218471693,105
2023-08-11 04:39:00,"0,9947040483022433",224810169,93
2023-08-11 04:40:00,"0,9947197449820163",231071776,8
2023-08-11 04:41:00,"0,9952785176231389",234527582,25
2023-08-11 04:42:00,"0,9956134230374301",236492524,8
2023-08-11 04:43:00,"0,9961695025271219",238901747,11
2023-08-11 04:44:00,"0,996402614039075",244189026,61
2023-08-11 04:45:00,"0,9964167839209183",249852646,72
2023-08-11 04:46:00,"0,9964224877045379",250899740,1369986
