,P,Q,mean voltage p.u.
2023-09-25 22:00:00,-3,0,"1,0054199695310668"
2023-09-25 22:01:00,-3,0,"1,0056952614588683"
2023-09-25 22:02:00,-3,0,"1,0056952237806331"
2023-09-25 22:03:00,-3,0,"1,0061905410843164"
2023-09-25 22:04:00,-3,0,"1,0070712841128562"
2023-09-25 22:05:00,-3,0,"1,0070158258173372"
2023-09-25 22:06:00,-3,0,"1,0066856686980947"
2023-09-25 22:07:00,-3,0,"1,0066856145581944"
2023-09-25 22:08:00,-3,0,"1,0066856145581928"
2023-09-25 22:09:00,-3,0,"1,0066856145581933"
2023-09-25 22:10:00,-3,0,"1,0069058181945263"
2023-09-25 22:11:00,-3,0,"1,007015830299412"
2023-09-25 22:12:00,-3,0,"1,0070158242902396"
2023-09-25 22:13:00,-3,0,"1,0070158242902394"
2023-09-25 22:14:00,-3,0,"1,0066857878678008"
2023-09-25 22:15:00,-3,0,"1,0061356141095894"
2023-09-25 22:16:00,-3,0,"1,0052553692645336"
2023-09-25 22:17:00,-3,0,"1,0050348285138218"
2023-09-25 22:18:00,-3,0,"1,0045947799980446"
2023-09-25 22:19:00,-3,0,"1,0036045429473122"
2023-09-25 22:20:00,-3,0,"1,0023934840880353"
2023-09-25 22:21:00,-3,0,"1,003053903552128"
2023-09-25 22:22:00,-3,0,"1,003053903552128"
2023-09-25 22:23:00,-3,0,"1,0029437541685862"
2023-09-25 22:24:00,-3,0,"1,0023934840880353"
2023-09-25 22:25:00,-3,0,"1,0027236938200816"
2023-09-25 22:26:00,-3,0,"1,003383994074885"
2023-09-25 22:27:00,-3,0,"1,003383994074885"
2023-09-25 22:28:00,-3,0,"1,0043745040617351"
2023-09-25 22:29:00,-3,0,"1,0039342641554363"
2023-09-25 22:30:00,-3,0,"1,003053903552128"
2023-09-25 22:31:00,-3,0,"1,003053903552128"
2023-09-25 22:32:00,-3,0,"1,003053903552128"
2023-09-25 22:33:00,-3,0,"1,003053903552128"
2023-09-25 22:34:00,-3,0,"1,004044294329689"
2023-09-25 22:35:00,-3,0,"1,0041544437132308"
2023-09-25 22:36:00,-3,0,"1,0043745040617351"
2023-09-25 22:37:00,-3,0,"1,005034804316539"
2023-09-25 22:38:00,-3,0,"1,005365014048586"
2023-09-25 22:39:00,-3,0,"1,005365014048586"
2023-09-25 22:40:00,-3,0,"1,0056952237806325"
2023-09-25 22:41:00,-3,0,"1,0063555240354358"
2023-09-25 22:42:00,-3,0,"1,0058052539548847"
2023-09-25 22:43:00,-3,0,"1,005475044222838"
2023-09-25 22:44:00,-3,0,"1,0060253143033893"
2023-09-25 22:45:00,-3,0,"1,0056952237806325"
2023-09-25 22:46:00,-3,0,"1,005365014048586"
2023-09-25 22:47:00,-3,0,"1,0055301189146089"
2023-09-25 22:48:00,-3,0,"1,0056952237806325"
2023-09-25 22:49:00,-3,0,"1,0061354636869313"
2023-09-25 22:50:00,-3,0,"1,0063555240354358"
2023-09-25 22:51:00,-3,0,"1,0063555240354358"
2023-09-25 22:52:00,-3,0,"1,0063555240354358"
2023-09-25 22:53:00,-3,0,"1,0063555240354358"
2023-09-25 22:54:00,-3,0,"1,0070158242902396"
2023-09-25 22:55:00,-3,0,"1,007346034022286"
2023-09-25 22:56:00,-3,0,"1,0080063342770895"
2023-09-25 22:57:00,-3,0,"1,0080063342770895"
2023-09-25 22:58:00,-3,0,"1,007786273928585"
2023-09-25 22:59:00,-3,0,"1,0087767839154351"
2023-09-25 23:00:00,-3,0,"1,0111980437954349"
2023-09-25 23:01:00,-3,0,"1,011638164492444"
2023-09-25 23:02:00,-3,0,"1,011638164492444"
2023-09-25 23:03:00,-3,0,"1,01147317883571"
2023-09-25 23:04:00,-3,0,"1,0113080739696867"
2023-09-25 23:05:00,-3,0,"1,0093270539959864"
2023-09-25 23:06:00,-3,0,"1,005365014048586"
2023-09-25 23:07:00,-3,0,"1,005365014048586"
2023-09-25 23:08:00,-3,0,"1,0055301189146089"
2023-09-25 23:09:00,-3,0,"1,0056952237806325"
2023-09-25 23:10:00,-3,0,"1,0059703588209077"
2023-09-25 23:11:00,-3,0,"1,0060253143033893"
2023-09-25 23:12:00,-3,0,"1,0060253143033893"
2023-09-25 23:13:00,-3,0,"1,0048147439680344"
2023-09-25 23:14:00,-3,0,"1,004704713793782"
2023-09-25 23:15:00,-3,0,"1,004649639102011"
2023-09-25 23:16:00,-3,0,"1,0043745040617351"
2023-09-25 23:17:00,-3,0,"1,0043745040617351"
2023-09-25 23:18:00,-3,0,"1,003714203806932"
2023-09-25 23:19:00,-3,0,"1,0038793086729552"
2023-09-25 23:20:00,-3,0,"1,004374799417173"
2023-09-25 23:21:00,-3,0,"1,0043745040617789"
2023-09-25 23:22:00,-3,0,"1,0043745040617351"
2023-09-25 23:23:00,-3,0,"1,00470476807556"
2023-09-25 23:24:00,-3,0,"1,0050348585234683"
2023-09-25 23:25:00,-3,0,"1,004374721003472"
2023-09-25 23:26:00,-3,0,"1,0040443486828023"
2023-09-25 23:27:00,-3,0,"1,0040442943296903"
2023-09-25 23:28:00,-3,0,"1,0040442943296888"
2023-09-25 23:29:00,-3,0,"1,0050352928955988"
2023-09-25 23:30:00,-3,0,"1,005034804316658"
2023-09-25 23:31:00,-3,0,"1,0050348043165391"
2023-09-25 23:32:00,-3,0,"1,0050348043165391"
2023-09-25 23:33:00,-3,0,"1,0045397309227744"
2023-09-25 23:34:00,-3,0,"1,0040444165037603"
2023-09-25 23:35:00,-3,0,"1,0040442943296966"
2023-09-25 23:36:00,-3,0,"1,0040442943296888"
2023-09-25 23:37:00,-3,0,"1,0047049309923015"
2023-09-25 23:38:00,-3,0,"1,005034858469956"
2023-09-25 23:39:00,-3,0,"1,0050348043165405"
2023-09-25 23:40:00,-3,0,"1,0052062505422457"
2023-09-25 23:41:00,-3,0,"1,0053650265862373"
2023-09-25 23:42:00,-3,0,"1,0054750502424823"
2023-09-25 23:43:00,-3,0,"1,0060254648742746"
