,P,Q,mean voltage p.u.
2023-06-24 22:00:00,6002,28606760,"1,010837972305794"
2023-06-24 22:01:00,-3,28598815,"1,0108378749470188"
2023-06-24 22:02:00,-3,28598815,"1,010837874947006"
2023-06-24 22:03:00,-3,28598815,"1,0108378749470062"
2023-06-24 22:04:00,-3,28598815,"1,0108378749470062"
2023-06-24 22:05:00,-3,28598815,"1,010837874947006"
2023-06-24 22:06:00,-3,28598815,"1,0108378749470062"
2023-06-24 22:07:00,-3,28598815,"1,010837874947006"
2023-06-24 22:08:00,-3,28598815,"1,010837874947006"
2023-06-24 22:09:00,168,33456108,"1,0109801639343323"
2023-06-24 22:10:00,685,43170498,"1,0112647168007256"
2023-06-24 22:11:00,-3,43165797,"1,0112646565190715"
2023-06-24 22:12:00,-3,43165797,"1,0112646565190668"
2023-06-24 22:13:00,-3,43165797,"1,0112646565190668"
2023-06-24 22:14:00,-3,43165797,"1,0112646565190668"
2023-06-24 22:15:00,-3,43165797,"1,0112646565190668"
2023-06-24 22:16:00,1546,57744508,"1,0116916074737814"
2023-06-24 22:17:00,-3,57733931,"1,0116914718767884"
2023-06-24 22:18:00,167,62588485,"1,011833680651069"
2023-06-24 22:19:00,681,72297398,"1,0121180732376571"
2023-06-24 22:20:00,55271,86925696,"1,0125454822046664"
2023-06-24 22:21:00,38319,72348617,"1,0121187870702224"
2023-06-24 22:22:00,38319,72348617,"1,0121187870702224"
2023-06-24 22:23:00,33348,67484322,"1,0119763856600592"
2023-06-24 22:24:00,24448,57766256,"1,0116918676755853"
2023-06-24 22:25:00,24448,57766256,"1,0116918676755853"
2023-06-24 22:26:00,24448,57766256,"1,0116918676755853"
2023-06-24 22:27:00,24448,57766256,"1,0116918676755853"
2023-06-24 22:28:00,49278,82066672,"1,0124032582811606"
2023-06-24 22:29:00,68290,96649002,"1,0128300607664902"
2023-06-24 22:30:00,120004,128235191,"1,0137543024768914"
2023-06-24 22:31:00,124582,130667322,"1,013825455473136"
2023-06-24 22:32:00,55271,86925696,"1,0125454822046664"
2023-06-24 22:33:00,55271,86925696,"1,0125454822046664"
2023-06-24 22:34:00,68290,96649002,"1,0128300607664902"
2023-06-24 22:35:00,75308,101508018,"1,0129722613331351"
2023-06-24 22:36:00,75308,101508018,"1,0129722613331351"
2023-06-24 22:37:00,75308,101508018,"1,0129722613331351"
2023-06-24 22:38:00,71753,99075878,"1,0129010849905211"
2023-06-24 22:39:00,55271,86925696,"1,0125454822046664"
2023-06-24 22:40:00,55271,86925696,"1,0125454822046664"
2023-06-24 22:41:00,129245,133099452,"1,0138966065238948"
2023-06-24 22:42:00,186089,159831765,"1,0146785239265332"
