,P,Q,mean voltage p.u.
2023-06-11 22:00:00,98409,116085052,"1,01339881637163"
2023-06-11 22:01:00,3346,137798646,"1,0140368110237816"
2023-06-11 22:02:00,43210,60456183,"1,0117663221336923"
2023-06-11 22:03:00,15709,14129135,"1,0104121864958946"
2023-06-11 22:04:00,-3,14022456,"1,0104108186178191"
2023-06-11 22:05:00,44923,40086,"1,0082271152243798"
2023-06-11 22:06:00,20,21,"1,0076763942460882"
2023-06-11 22:07:00,-3,0,"1,0090528577830158"
2023-06-11 22:08:00,22,1874125,"1,0100548977870945"
2023-06-11 22:09:00,12549,43251022,"1,0112657486440446"
2023-06-11 22:10:00,-3,43165797,"1,011264656520452"
2023-06-11 22:11:00,-3,43165797,"1,0112646565190668"
2023-06-11 22:12:00,383,35882834,"1,0110512376402103"
2023-06-11 22:13:00,384,28596201,"1,0108377547537195"
2023-06-11 22:14:00,1549,14033042,"1,010410954445006"
2023-06-11 22:15:00,-3,14022456,"1,0104108186156653"
2023-06-11 22:16:00,-3,14022456,"1,0104108186156433"
2023-06-11 22:17:00,-3,14022456,"1,0104108186156433"
2023-06-11 22:18:00,688,4310810,"1,0101262104797193"
2023-06-11 22:19:00,-1,2,"1,0099873542812894"
2023-06-11 22:20:00,-3,0,"1,0099323987683084"
2023-06-11 22:21:00,-3,0,"1,0096572637280328"
2023-06-11 22:22:00,-3,0,"1,009767293902285"
2023-06-11 22:23:00,138815,137958446,"1,0140387487939828"
2023-06-11 22:24:00,13672,43183881,"1,0112648780454228"
2023-06-11 22:25:00,13672,43183881,"1,0112648780454228"
2023-06-11 22:26:00,13672,43183881,"1,0112648780454228"
2023-06-11 22:27:00,13672,43183881,"1,0112648780454228"
2023-06-11 22:28:00,13672,43183881,"1,0112648780454228"
2023-06-11 22:29:00,13672,43183881,"1,0112648780454228"
2023-06-11 22:30:00,7064,31033648,"1,0109090510521828"
2023-06-11 22:31:00,6000,28601495,"1,0108378181198443"
2023-06-11 22:32:00,6000,28601495,"1,0108378181198443"
