,P,Q,mean voltage p.u.
2023-10-10 22:00:00,-3,0,"1,0060253143033893"
2023-10-10 22:01:00,-3,0,"1,0021806790858712"
2023-10-10 22:02:00,-3,0,"1,0000844512846672"
2023-10-10 22:03:00,-3,0,"1,000082254384701"
2023-10-10 22:04:00,-3,0,"0,9992572494357053"
2023-10-10 22:05:00,-3,0,"0,999532081690446"
2023-10-10 22:06:00,-3,0,"1,0000824057981337"
2023-10-10 22:07:00,-3,0,"0,9964570192687436"
2023-10-10 22:08:00,-3,0,"0,9951307075129053"
2023-10-10 22:09:00,-3,0,"0,9931507772649651"
2023-10-10 22:10:00,-3,0,"0,9926536135860548"
2023-10-10 22:11:00,-3,0,"0,9921583577006284"
2023-10-10 22:12:00,-3,0,"0,99149809407582"
2023-10-10 22:13:00,-3,0,"0,9917731070073496"
2023-10-10 22:14:00,-3,0,"0,9931496981164217"
2023-10-10 22:15:00,-3,0,"0,9931487440794396"
2023-10-10 22:16:00,-3,0,"0,9938644363189904"
2023-10-10 22:17:00,-3,0,"0,9943595568911072"
2023-10-10 22:18:00,-3,0,"0,9977217940406646"
2023-10-10 22:19:00,-3,0,"0,9949685282018904"
2023-10-10 22:20:00,-3,0,"0,9942493438447289"
2023-10-10 22:21:00,-3,0,"0,9938091039384298"
2023-10-10 22:22:00,-3,0,"0,9946345686639017"
2023-10-10 22:23:00,-3,0,"0,9953498840058312"
2023-10-10 22:24:00,-3,0,"0,9967805742943356"
2023-10-10 22:25:00,-3,0,"0,9949096440995325"
2023-10-10 22:26:00,-3,0,"0,9931488036836262"
2023-10-10 22:27:00,-3,0,"0,9923783540452806"
2023-10-10 22:28:00,-3,0,"0,9932588338578784"
2023-10-10 22:29:00,-3,0,"0,9945244788850042"
2023-10-10 22:30:00,-3,0,"0,99479961392528"
2023-10-10 22:31:00,-3,0,"0,9952948689187053"
2023-10-10 22:32:00,-3,0,"0,9971108436310269"
2023-10-10 22:33:00,-3,0,"0,9977712034904752"
2023-10-10 22:34:00,-3,0,"0,9986516236984286"
2023-10-10 22:35:00,-3,0,"0,9984864592277604"
2023-10-10 22:36:00,-3,0,"0,9973309039795318"
2023-10-10 22:37:00,-3,0,"0,997881174060083"
2023-10-10 22:38:00,-3,0,"0,9994219541274845"
2023-10-10 22:39:00,-3,0,"0,9999722242080356"
2023-10-10 22:40:00,-3,0,"1,000082254382288"
2023-10-10 22:41:00,-3,0,"0,9998621940337837"
2023-10-10 22:42:00,-3,0,"0,9994219541274845"
2023-10-10 22:43:00,-3,0,"0,9994219541274845"
2023-10-10 22:44:00,-3,0,"0,9994219541274845"
2023-10-10 22:45:00,-3,0,"0,9996421336852784"
2023-10-10 22:46:00,-3,0,"1,0007426738463814"
2023-10-10 22:47:00,-3,0,"0,999752163859531"
2023-10-10 22:48:00,-3,0,"1,0011278390609093"
2023-10-10 22:49:00,-3,0,"1,003824233981184"
2023-10-10 22:50:00,-3,0,"1,0042644738874833"
2023-10-10 22:51:00,-3,0,"1,0040444135389783"
2023-10-10 22:52:00,-3,0,"1,0040444135389783"
2023-10-10 22:53:00,-3,0,"1,0029437541685862"
2023-10-10 22:54:00,-3,0,"1,0024484395705164"
2023-10-10 22:55:00,-3,0,"1,0023934840880353"
2023-10-10 22:56:00,-3,0,"1,000962734194886"
2023-10-10 22:57:00,-3,0,"1,0004124641143346"
2023-10-10 22:58:00,-3,0,"1,0012378692351611"
2023-10-10 22:59:00,-3,0,"1,0011278390609093"
2023-10-10 23:00:00,-3,0,"1,0010727643691384"
2023-10-10 23:01:00,-3,0,"0,999752104254886"
2023-10-10 23:02:00,-3,0,"0,999752104254886"
2023-10-10 23:03:00,-3,0,"0,9986515640937836"
2023-10-10 23:04:00,-3,0,"0,9984314441406342"
2023-10-10 23:05:00,-3,0,"0,9974409341537842"
2023-10-10 23:06:00,-3,0,"0,9974409341537842"
2023-10-10 23:07:00,-3,0,"0,9966155290329569"
2023-10-10 23:08:00,-3,0,"0,99579012391213"
2023-10-10 23:09:00,-3,0,"0,9973859786713027"
2023-10-10 23:10:00,-3,0,"0,9981012940132323"
2023-10-10 23:11:00,-3,0,"0,9981012940132323"
2023-10-10 23:12:00,-3,0,"0,9981012940132323"
2023-10-10 23:13:00,-3,0,"0,9981563091003587"
2023-10-10 23:14:00,-3,0,"0,9999722242080356"
2023-10-10 23:15:00,-3,0,"1,0010727643691384"
2023-10-10 23:16:00,-3,0,"1,0010727643691384"
2023-10-10 23:17:00,-3,0,"1,0004124641143346"
2023-10-10 23:18:00,-3,0,"1,000082254382288"
2023-10-10 23:19:00,-3,0,"0,9991468190872088"
2023-10-10 23:20:00,-3,0,"0,9987688841528094"
2023-10-10 23:21:00,-3,0,"0,9994221676405395"
2023-10-10 23:22:00,-3,0,"1,0000825916535854"
2023-10-10 23:23:00,-3,0,"0,9987075853305256"
2023-10-10 23:24:00,-3,0,"0,9995324438660211"
2023-10-10 23:25:00,-3,0,"1,0004128515133397"
2023-10-10 23:26:00,-3,0,"1,0004124641144096"
2023-10-10 23:27:00,-3,0,"1,0001924279691254"
2023-10-10 23:28:00,-3,0,"0,9999172469863304"
2023-10-10 23:29:00,-3,0,"1,0010734320345451"
2023-10-10 23:30:00,-3,0,"1,0020637637245953"
2023-10-10 23:31:00,-3,0,"1,0007435446884023"
2023-10-10 23:32:00,-3,0,"0,9998625821347011"
2023-10-10 23:33:00,-3,0,"1,0002474332851987"
2023-10-10 23:34:00,-3,0,"1,002230340810052"
2023-10-10 23:35:00,-3,0,"1,0023934973662847"
2023-10-10 23:36:00,-3,0,"1,0023934840880353"
2023-10-10 23:37:00,-3,0,"1,002888921061477"
2023-10-10 23:38:00,-3,0,"1,0052025718234507"
2023-10-10 23:39:00,-3,0,"1,004429875966378"
2023-10-10 23:40:00,-3,0,"1,0035554961349675"
2023-10-10 23:41:00,-3,0,"1,0043748382604851"
2023-10-10 23:42:00,-3,0,"1,0047047679657224"
2023-10-10 23:43:00,-3,0,"1,0053652309903702"
2023-10-10 23:44:00,-3,0,"1,0089482508877663"
2023-10-10 23:45:00,-3,0,"1,0086667930101163"
2023-10-10 23:46:00,-3,0,"1,0076217110301606"
2023-10-10 23:47:00,-3,0,"1,0056970654207449"
2023-10-10 23:48:00,-3,0,"1,006576087409125"
2023-10-10 23:49:00,-3,0,"1,0070159203428517"
2023-10-10 23:50:00,-3,0,"1,0063557405778327"
2023-10-10 23:51:00,-3,0,"1,0060254877195327"
2023-10-10 23:52:00,-3,0,"1,005970360331404"
2023-10-10 23:53:00,-3,0,"1,006355597770749"
2023-10-10 23:54:00,-3,0,"1,0070161601508212"
2023-10-10 23:55:00,-3,0,"1,0083374096424809"
2023-10-10 23:56:00,-3,0,"1,00866680752652"
2023-10-10 23:57:00,-3,0,"1,0086667537411844"
2023-10-10 23:58:00,-3,0,"1,0086667537411833"
2023-10-10 23:59:00,-3,0,"1,0088318721199034"
2023-10-11 00:00:00,-3,0,"1,0097125456167608"
2023-10-11 00:01:00,-3,0,"1,0077331432225027"
2023-10-11 00:02:00,-3,0,"1,0066312621477165"
2023-10-11 00:03:00,-3,0,"1,0091100380822664"
2023-10-11 00:04:00,-3,0,"1,0104836024017685"
2023-10-11 00:05:00,-3,0,"1,0116389434298585"
2023-10-11 00:06:00,-3,0,"1,011308128077232"
2023-10-11 00:07:00,-3,0,"1,0107578344798551"
2023-10-11 00:08:00,-3,0,"1,0102076836124336"
2023-10-11 00:09:00,-3,0,"1,0099873782780413"
2023-10-11 00:10:00,-3,0,"1,0099873542507904"
2023-10-11 00:11:00,-3,0,"1,0102075578084084"
2023-10-11 00:12:00,-3,0,"1,0115289974686923"
2023-10-11 00:13:00,-3,0,"1,0121887688104905"
2023-10-11 00:14:00,-3,0,"1,0122985899136108"
2023-10-11 00:15:00,-3,0,"1,0135098781228489"
2023-10-11 00:16:00,-3,0,"1,0141697884545973"
2023-10-11 00:17:00,-3,0,"1,0142796098757108"
2023-10-11 00:18:00,-3,0,"1,0134545346652346"
2023-10-11 00:19:00,-3,0,"1,0137844622275234"
2023-10-11 00:20:00,-3,0,"1,0143278985614934"
2023-10-11 00:21:00,-3,0,"1,0142796050799503"
2023-10-11 00:22:00,-3,0,"1,0136193994736162"
2023-10-11 00:23:00,-3,0,"1,0136191844661673"
2023-10-11 00:24:00,-3,0,"1,012959099280487"
2023-10-11 00:25:00,-3,0,"1,0109799207511845"
2023-10-11 00:26:00,-3,0,"1,0098779253344867"
2023-10-11 00:27:00,-3,0,"1,0096571686524367"
2023-10-11 00:28:00,-3,0,"1,0099874082406657"
2023-10-11 00:29:00,-3,0,"1,0096022624994727"
2023-10-11 00:30:00,-3,0,"1,009327091505669"
2023-10-11 00:31:00,-3,0,"1,011475460400758"
2023-10-11 00:32:00,-3,0,"1,0108130955978714"
2023-10-11 00:33:00,-3,0,"1,008888649523194"
2023-10-11 00:34:00,-3,0,"1,0097676765093977"
2023-10-11 00:35:00,-3,0,"1,0092171739643805"
2023-10-11 00:36:00,-3,0,"1,008666903838917"
2023-10-11 00:37:00,-3,0,"1,008666753741194"
2023-10-11 00:38:00,-3,0,"1,0086667537411826"
2023-10-11 00:39:00,-3,0,"1,0086667537411829"
2023-10-11 00:40:00,-3,0,"1,0091387912388752"
2023-10-11 00:41:00,-3,0,"1,0093270715569338"
