,P,Q,mean voltage p.u.
2023-01-16 23:00:00,-3,0,"0,9981346292513472"
2023-01-16 23:01:00,-3,0,"0,9991160677319315"
2023-01-16 23:02:00,-338452,0,"0,9992223322209939"
2023-01-16 23:03:00,-1251,0,"0,9955258060079388"
2023-01-16 23:04:00,-3,0,"0,9953009254789212"
2023-01-16 23:05:00,-3,0,"0,9953009000738599"
2023-01-16 23:06:00,-1692051,16,"0,9952900474253048"
2023-01-16 23:07:00,-2030796,0,"0,9962147042026432"
2023-01-16 23:08:00,-1012947,6,"0,9984576033680211"
2023-01-16 23:09:00,-607,5,"0,9978623123797091"
2023-01-16 23:10:00,-4,0,"0,9962831081133257"
2023-01-16 23:11:00,-3,0,"0,9945394558696218"
2023-01-16 23:12:00,-3,0,"0,9943199678553735"
2023-01-16 23:13:00,-3,0,"0,9943199436303352"
2023-01-16 23:14:00,-3,0,"0,9943199436302799"
2023-01-16 23:15:00,-1692051,16,"0,9943090802750832"
2023-01-16 23:16:00,-2030557,0,"0,9945249173215811"
2023-01-16 23:17:00,-2030475,0,"0,9964887081603708"
2023-01-16 23:18:00,-335618,16,"0,9981338207508531"
2023-01-16 23:19:00,400,0,"0,9993342310886739"
2023-01-16 23:20:00,-3,0,"0,9995515531554192"
2023-01-16 23:21:00,-3384063,65,"0,998821462972966"
2023-01-16 23:22:00,-2030457,23,"0,9982306659976078"
2023-01-16 23:23:00,-3,0,"0,9964997809323569"
2023-01-16 23:24:00,-3,0,"0,9959549105798717"
2023-01-16 23:25:00,-676827,2,"0,9968769627582451"
2023-01-16 23:26:00,-1015237,5,"0,9975832622379861"
2023-01-16 23:27:00,-3,0,"0,9972626943304722"
2023-01-16 23:28:00,-3,0,"0,9947014003292824"
2023-01-16 23:29:00,-338416,0,"0,9925739566082368"
2023-01-16 23:30:00,-3,0,"0,9936660517549246"
2023-01-16 23:31:00,-3,0,"0,9936660517549246"
2023-01-16 23:32:00,-3,0,"0,9936660517549246"
2023-01-16 23:33:00,-338416,0,"0,9931188874703832"
2023-01-16 23:34:00,-3,0,"0,9928486275954291"
2023-01-16 23:35:00,-3,0,"0,9910502469923539"
2023-01-16 23:36:00,-1353645,10,"0,9923494415018672"
2023-01-16 23:37:00,-3,0,"0,9949738948208813"
2023-01-16 23:38:00,-3,0,"0,9962817378868376"
2023-01-16 23:39:00,-3,0,"0,9972626943304722"
