,P,Q,mean voltage p.u.
2023-07-24 23:00:00,-3,0,"1,0064180109998822"
2023-07-24 23:01:00,-3,0,"1,006090999576025"
2023-07-24 23:02:00,-338416,0,"1,006088799172924"
2023-07-24 23:03:00,70,0,"1,0063090135781587"
2023-07-24 23:04:00,-3,0,"1,0064180169027477"
2023-07-24 23:05:00,-1015237,5,"1,0064115713271553"
2023-07-24 23:06:00,2,5,"1,0064180110740566"
2023-07-24 23:07:00,-3,0,"1,006418010999771"
2023-07-24 23:08:00,-3,0,"1,0064180109997705"
2023-07-24 23:09:00,-3,0,"1,006418010999771"
2023-07-24 23:10:00,-3,0,"1,006418010999771"
2023-07-24 23:11:00,-3,0,"1,006418010999771"
2023-07-24 23:12:00,-1015237,5,"1,0064115713271171"
2023-07-24 23:13:00,2,5,"1,0064180110740568"
2023-07-24 23:14:00,-3,0,"1,0064180109997705"
2023-07-24 23:15:00,-338416,0,"1,00641586443879"
2023-07-24 23:16:00,-2,0,"1,0064180110080243"
2023-07-24 23:17:00,-3,0,"1,006090999576139"
2023-07-24 23:18:00,-676680,2,"1,005868632511282"
2023-07-24 23:19:00,-2030325,10,"1,0057511194699642"
2023-07-24 23:20:00,-3,0,"1,0056549789710538"
2023-07-24 23:21:00,-3,0,"1,0051099899879676"
2023-07-24 23:22:00,-3,0,"1,0051099899879676"
2023-07-24 23:23:00,-3,0,"1,0051099899879676"
2023-07-24 23:24:00,-3,0,"1,0053824844794552"
2023-07-24 23:25:00,-4060859,93,"1,0054111522995672"
2023-07-24 23:26:00,-2030457,23,"1,0062961087694813"
2023-07-24 23:27:00,-3,0,"1,006744956937448"
2023-07-24 23:28:00,-3,0,"1,006744956937448"
2023-07-24 23:29:00,-1353645,10,"1,0067363735039836"
2023-07-24 23:30:00,-3,0,"1,006744956937448"
2023-07-24 23:31:00,-3,0,"1,006744956937448"
2023-07-24 23:32:00,-676827,2,"1,0067406652133717"
2023-07-24 23:33:00,-1353645,10,"1,0067363735039836"
2023-07-24 23:34:00,-3,0,"1,006744956937448"
2023-07-24 23:35:00,-3,0,"1,006744956937448"
2023-07-24 23:36:00,-676827,2,"1,0067406652133717"
2023-07-24 23:37:00,-3,0,"1,006744956937448"
2023-07-24 23:38:00,-3,0,"1,0068538598296066"
2023-07-24 23:39:00,-1353645,10,"1,0079352645719906"
2023-07-24 23:40:00,-3,0,"1,0080527406882709"
2023-07-24 23:41:00,-3,0,"1,0080527406882709"
2023-07-24 23:42:00,-1015237,5,"1,0080463114585934"
2023-07-24 23:43:00,-3,0,"1,0080527406882709"
2023-07-24 23:44:00,-3,0,"1,0080527406882709"
2023-07-24 23:45:00,-3,0,"1,0077803648272736"
2023-07-24 23:46:00,-676827,2,"1,0081574765181334"
2023-07-24 23:47:00,-3,0,"1,0090336971319058"
2023-07-24 23:48:00,-3,0,"1,009360643069472"
2023-07-24 23:49:00,-676827,2,"1,0093563624670543"
2023-07-24 23:50:00,-3,0,"1,0089246756090344"
2023-07-24 23:51:00,-3,0,"1,0083798052564388"
2023-07-24 23:52:00,-676827,2,"1,009247340482008"
2023-07-24 23:53:00,-3,0,"1,009360643069472"
2023-07-24 23:54:00,-3,0,"1,009360643069472"
2023-07-24 23:55:00,-1353645,10,"1,0093520818792117"
2023-07-24 23:56:00,-3,0,"1,009360643069472"
2023-07-24 23:57:00,-3,0,"1,009360643069472"
2023-07-24 23:58:00,-3,0,"1,009360643069472"
