,mean voltage p.u.,P,Q
2023-09-19 22:00:00,"1,0043194293699642",-11,0
2023-09-19 22:01:00,"1,004704787696607",-11,0
2023-09-19 22:02:00,"1,007184099941983",-11,0
2023-09-19 22:03:00,"1,007896555911204",-11,0
2023-09-19 22:04:00,"1,0083366400455425",-11,0
2023-09-19 22:05:00,"1,0077864241278585",-11,0
2023-09-19 22:06:00,"1,0049288370272602",-11,0
2023-09-19 22:07:00,"1,0040446836188377",-11,0
2023-09-19 22:08:00,"1,002010383911768",-11,0
2023-09-19 22:09:00,"1,0021734370038564",-11,0
2023-09-19 22:10:00,"1,000853574296949",-11,0
2023-09-19 22:11:00,"0,9997527698947105",-10,0
2023-09-19 22:12:00,"1,0007431639225153",-11,0
2023-09-19 22:13:00,"1,0009628775179888",-11,0
2023-09-19 22:14:00,"1,0020638792101886",-11,0
2023-09-19 22:15:00,"1,002723911049406",-11,0
2023-09-19 22:16:00,"1,002393538530726",-11,0
2023-09-19 22:17:00,"1,0017334013467671",-11,0
2023-09-19 22:18:00,"1,0012379917987462",-11,0
2023-09-19 22:19:00,"1,0007427963646411",-11,0
2023-09-19 22:20:00,"1,000302433940082",-11,0
2023-09-19 22:21:00,"0,9991468190872085",-10,0
2023-09-19 22:22:00,"1,0019532441817358",-11,0
2023-09-19 22:23:00,"1,0000822543822878",-11,0
2023-09-19 22:24:00,"1,0000822543822878",-11,0
2023-09-19 22:25:00,"1,001623153658979",-11,0
2023-09-19 22:26:00,"1,0023934840880349",-11,0
2023-09-19 22:27:00,"1,0026136636458292",-11,0
2023-09-19 22:28:00,"1,0037142038069318",-11,0
2023-09-19 22:29:00,"1,0037142038069318",-11,0
2023-09-19 22:30:00,"1,0037142038069318",-11,0
2023-09-19 22:31:00,"1,0040442943296886",-11,0
2023-09-19 22:32:00,"1,0040442943296886",-11,0
2023-09-19 22:33:00,"1,0061354636869309",-11,0
2023-09-19 22:34:00,"1,008336544009136",-11,0
2023-09-19 22:35:00,"1,0080063342770893",-11,0
2023-09-19 22:36:00,"1,0080063342770893",-11,0
2023-09-19 22:37:00,"1,0080063342770893",-11,0
2023-09-19 22:38:00,"1,0067956447324449",-11,0
2023-09-19 22:39:00,"1,006025314303389",-11,0
2023-09-19 22:40:00,"1,0063004493436645",-11,0
2023-09-19 22:41:00,"1,0063555240354356",-11,0
2023-09-19 22:42:00,"1,0063555240354356",-11,0
2023-09-19 22:43:00,"1,0065757035932297",-11,0
2023-09-19 22:44:00,"1,0070158242902392",-11,0
2023-09-19 22:45:00,"1,0072909593305148",-11,0
2023-09-19 22:46:00,"1,0071258544644914",-11,0
2023-09-19 22:47:00,"1,006025314303389",-11,0
2023-09-19 22:48:00,"1,0066856145581924",-11,0
2023-09-19 22:49:00,"1,0070158242902392",-11,0
2023-09-19 22:50:00,"1,0070158242902392",-11,0
2023-09-19 22:51:00,"1,0070158242902392",-11,0
2023-09-19 22:52:00,"1,0063555240354356",-11,0
2023-09-19 22:53:00,"1,0062454938611831",-11,0
2023-09-19 22:54:00,"1,0070158242902392",-11,0
2023-09-19 22:55:00,"1,0070158242902392",-11,0
2023-09-19 22:56:00,"1,0070158242902392",-11,0
2023-09-19 22:57:00,"1,0070158242902392",-11,0
2023-09-19 22:58:00,"1,0066857337674822",-11,0
2023-09-19 22:59:00,"1,0058603286466554",-11,0
2023-09-19 23:00:00,"1,0053650140485857",-11,0
2023-09-19 23:01:00,"1,0061904191694124",-11,0
2023-09-19 23:02:00,"1,0063555240354356",-11,0
2023-09-19 23:03:00,"1,0058052539548843",-11,0
2023-09-19 23:04:00,"1,0056952237806318",-11,0
2023-09-19 23:05:00,"1,0056952237806318",-11,0
2023-09-19 23:06:00,"1,0056952237806318",-11,0
2023-09-19 23:07:00,"1,0053650140485857",-11,0
2023-09-19 23:08:00,"1,0053650140485857",-11,0
2023-09-19 23:09:00,"1,0055850743970902",-11,0
2023-09-19 23:10:00,"1,0063004493436645",-11,0
2023-09-19 23:11:00,"1,0067956447324449",-11,0
2023-09-19 23:12:00,"1,0070158242902392",-11,0
2023-09-19 23:13:00,"1,0066306590757117",-11,0
2023-09-19 23:14:00,"1,0063555240354356",-11,0
2023-09-19 23:15:00,"1,0063555240354356",-11,0
2023-09-19 23:16:00,"1,0063555240354356",-11,0
2023-09-19 23:17:00,"1,0066306590757117",-11,0
2023-09-19 23:18:00,"1,0073460340222855",-11,0
2023-09-19 23:19:00,"1,0076762437543323",-11,0
2023-09-19 23:20:00,"1,0077002622598277",-11,0
2023-09-19 23:21:00,"1,0071810629792266",-11,0
2023-09-19 23:22:00,"1,0109781423816004",-11,71720
2023-09-19 23:23:00,"1,011308340360384",-11,95939
2023-09-19 23:24:00,"1,0113082864458558",-11,95928
2023-09-19 23:25:00,"1,010758076828833",-11,55607
2023-09-19 23:26:00,"1,0106478850132854",-11,47506
2023-09-19 23:27:00,"1,0106478790051536",-11,47505
2023-09-19 23:28:00,"1,012024714088538",-11,148596
2023-09-19 23:29:00,"1,0139518657443232",-11,290031
2023-09-19 23:30:00,"1,01350993865041",-11,257373
2023-09-19 23:31:00,"1,013289651106957",-11,241211
2023-09-19 23:32:00,"1,0132896271579934",-11,241205
2023-09-19 23:33:00,"1,012629435379885",-11,192830
2023-09-19 23:34:00,"1,0126292201363245",-11,192782
2023-09-19 23:35:00,"1,0130695077055174",-11,225080
2023-09-19 23:36:00,"1,0132896510756184",-11,241211
2023-09-19 23:37:00,"1,0132896271579932",-11,241205
2023-09-19 23:38:00,"1,0132896271579932",-11,241205
2023-09-19 23:39:00,"1,0132896271579932",-11,241205
2023-09-19 23:40:00,"1,012959364138877",-11,216987
2023-09-19 23:41:00,"1,0120792437193324",-11,152512
2023-09-19 23:42:00,"1,011968699785318",-11,144352
2023-09-19 23:43:00,"1,0119686937466197",-11,144351
2023-09-19 23:44:00,"1,0130149880681114",-11,221147
2023-09-19 23:45:00,"1,0136200708629957",-11,265461
2023-09-19 23:46:00,"1,0130146286016908",-11,221068
2023-09-19 23:47:00,"1,0102114573679042",-11,16072
2023-09-19 23:48:00,"1,009437084170274",-11,0
2023-09-19 23:49:00,"1,0093270599927142",-11,0
2023-09-19 23:50:00,"1,0093270539959862",-11,0
2023-09-19 23:51:00,"1,009327053995986",-11,0
2023-09-19 23:52:00,"1,0093270539959862",-11,0
2023-09-19 23:53:00,"1,009327053995986",-11,0
2023-09-19 23:54:00,"1,0093270539959862",-11,0
2023-09-19 23:55:00,"1,009327053995986",-11,0
2023-09-19 23:56:00,"1,0093270539959862",-11,0
2023-09-19 23:57:00,"1,0104276636748155",-11,31358
2023-09-19 23:58:00,"1,0106477837515828",-11,47501
2023-09-19 23:59:00,"1,010427687649751",-11,31363
2023-09-20 00:00:00,"1,009995820804174",-11,0
2023-09-20 00:01:00,"1,0116384305000914",-11,120135
2023-09-20 00:02:00,"1,0132909749188548",-11,241502
2023-09-20 00:03:00,"1,0132896271588896",-11,241205
2023-09-20 00:04:00,"1,0132896271579932",-11,241205
2023-09-20 00:05:00,"1,0132896271579932",-11,241205
2023-09-20 00:06:00,"1,013289627157993",-11,241205
2023-09-20 00:07:00,"1,0128494117638969",-11,208941
2023-09-20 00:08:00,"1,0116391545525487",-11,120294
2023-09-20 00:09:00,"1,0116384304996633",-11,120135
2023-09-20 00:10:00,"1,0111983342057174",-11,87880
2023-09-20 00:11:00,"1,0109780471323224",-11,71717
2023-09-20 00:12:00,"1,011418430357134",-11,104018
2023-09-20 00:13:00,"1,0121892024836157",-11,160562
2023-09-20 00:14:00,"1,0122989629103645",-11,168568
2023-09-20 00:15:00,"1,0128494657114349",-11,208953
2023-09-20 00:16:00,"1,01295937001345",-11,216991
2023-09-20 00:17:00,"1,0122991722766126",-11,168614
2023-09-20 00:18:00,"1,0136757894933153",-11,269657
2023-09-20 00:19:00,"1,014610991086333",-11,338154
2023-09-20 00:20:00,"1,015270967472562",-11,386467
