,mean voltage p.u.,P,Q
2023-07-24 22:00:00,"1,0089969634732292",-11,0
2023-07-24 22:01:00,"1,0075122328830268",-11,0
2023-07-24 22:02:00,"1,0060265305576055",-11,0
2023-07-24 22:03:00,"1,0066859497403513",-11,0
2023-07-24 22:04:00,"1,0070158783374912",-11,0
2023-07-24 22:05:00,"1,0043779681868863",-11,0
2023-07-24 22:06:00,"1,003494413224657",-11,0
2023-07-24 22:07:00,"1,004705443657072",-11,0
2023-07-24 22:08:00,"1,0047047137940472",-11,0
2023-07-24 22:09:00,"1,004374558325673",-11,0
2023-07-24 22:10:00,"1,0043195500856998",-11,0
2023-07-24 22:11:00,"1,0049249565026512",-11,0
2023-07-24 22:12:00,"1,0053101323544993",-11,0
2023-07-24 22:13:00,"1,0053650155466307",-11,0
2023-07-24 22:14:00,"1,0053099408654145",-11,0
2023-07-24 22:15:00,"1,0050348419666792",-11,0
2023-07-24 22:16:00,"1,0050348043165394",-11,0
2023-07-24 22:17:00,"1,005034804316539",-11,0
2023-07-24 22:18:00,"1,005034804316539",-11,0
2023-07-24 22:19:00,"1,005034804316539",-11,0
2023-07-24 22:20:00,"1,005034804316539",-11,0
2023-07-24 22:21:00,"1,0055301189146086",-11,0
2023-07-24 22:22:00,"1,006025314303389",-11,0
2023-07-24 22:23:00,"1,006025314303389",-11,0
2023-07-24 22:24:00,"1,0058603286466554",-11,0
2023-07-24 22:25:00,"1,005034804316539",-11,0
2023-07-24 22:26:00,"1,005034804316539",-11,0
2023-07-24 22:27:00,"1,0061354636869309",-11,0
2023-07-24 22:28:00,"1,0063555240354356",-11,0
2023-07-24 22:29:00,"1,0063555240354356",-11,0
2023-07-24 22:30:00,"1,006905794115987",-11,0
2023-07-24 22:31:00,"1,0075660943707905",-11,0
2023-07-24 22:32:00,"1,0076762437543323",-11,0
2023-07-24 22:33:00,"1,0076762437543323",-11,0
2023-07-24 22:34:00,"1,0087767839154351",-11,0
2023-07-24 22:35:00,"1,0093270539959862",-11,0
2023-07-24 22:36:00,"1,0093270539959862",-11,0
2023-07-24 22:37:00,"1,0089968442639397",-11,0
2023-07-24 22:38:00,"1,0082265138348836",-11,0
2023-07-24 22:39:00,"1,0080063342770893",-11,0
2023-07-24 22:40:00,"1,0080063342770893",-11,0
2023-07-24 22:41:00,"1,0080063342770893",-11,0
2023-07-24 22:42:00,"1,0080614089688604",-11,0
2023-07-24 22:43:00,"1,008336544009136",-11,0
2023-07-24 22:44:00,"1,0085567235669302",-11,0
2023-07-24 22:45:00,"1,0094370841702385",-11,0
2023-07-24 22:46:00,"1,0099873542507898",-11,0
2023-07-24 22:47:00,"1,0106475074864647",-11,66332
2023-07-24 22:48:00,"1,0113077772298518",-11,133971
2023-07-24 22:49:00,"1,0114728446962449",-11,150880
2023-07-24 22:50:00,"1,0116377929925453",-11,167778
2023-07-24 22:51:00,"1,0116377929925453",-11,167778
2023-07-24 22:52:00,"1,0116377929925453",-11,167778
2023-07-24 22:53:00,"1,0116377929925453",-11,167778
2023-07-24 22:54:00,"1,0129582140776243",-11,303043
2023-07-24 22:55:00,"1,0129582140776243",-11,303043
2023-07-24 22:56:00,"1,0129582140776243",-11,303043
2023-07-24 22:57:00,"1,0136183653207709",-11,370670
2023-07-24 22:58:00,"1,0136183653207709",-11,370670
2023-07-24 22:59:00,"1,0136183653207709",-11,370670
2023-07-24 23:00:00,"1,0136183653207709",-11,370670
2023-07-24 23:01:00,"1,0136183653207709",-11,370670
2023-07-24 23:02:00,"1,0136183653207709",-11,370670
2023-07-24 23:03:00,"1,0136183653207709",-11,370670
2023-07-24 23:04:00,"1,0133983546122791",-11,348132
2023-07-24 23:05:00,"1,0122980630288558",-11,235417
2023-07-24 23:06:00,"1,0122980630288558",-11,235417
2023-07-24 23:07:00,"1,0125180736293755",-11,257955
2023-07-24 23:08:00,"1,0136183653207709",-11,370670
2023-07-24 23:09:00,"1,0136183653207709",-11,370670
2023-07-24 23:10:00,"1,0136183653207709",-11,370670
2023-07-24 23:11:00,"1,0136183653207709",-11,370670
2023-07-24 23:12:00,"1,0136183653207709",-11,370670
2023-07-24 23:13:00,"1,0130683385899737",-11,314324
2023-07-24 23:14:00,"1,0129582140776243",-11,303043
2023-07-24 23:15:00,"1,012793265683965",-11,286146
2023-07-24 23:16:00,"1,0119679279863234",-11,201597
2023-07-24 23:17:00,"1,0119679279863234",-11,201597
2023-07-24 23:18:00,"1,0121880577367068",-11,224148
2023-07-24 23:19:00,"1,0113077772298518",-11,133971
2023-07-24 23:20:00,"1,0121880580693003",-11,224142
2023-07-24 23:21:00,"1,0121880577361613",-11,224148
2023-07-24 23:22:00,"1,01196795191727",-11,201605
2023-07-24 23:23:00,"1,0122981168583494",-11,235433
2023-07-24 23:24:00,"1,0129584292452951",-11,303109
2023-07-24 23:25:00,"1,0130682253550207",-11,314314
2023-07-24 23:26:00,"1,0133984083885232",-11,348148
2023-07-24 23:27:00,"1,0126284907434426",-11,269326
2023-07-24 23:28:00,"1,0129583869664835",-11,303072
2023-07-24 23:29:00,"1,0129583332590004",-11,303056
2023-07-24 23:30:00,"1,0129583332589993",-11,303056
2023-07-24 23:31:00,"1,0129583332589993",-11,303056
2023-07-24 23:32:00,"1,0127932791294043",-11,286150
2023-07-24 23:33:00,"1,0126282115700158",-11,269240
2023-07-24 23:34:00,"1,0127382094053343",-11,280507
2023-07-24 23:35:00,"1,0132884986546125",-11,336909
2023-07-24 23:36:00,"1,0133432938272118",-11,342492
2023-07-24 23:37:00,"1,013343292346059",-11,342491
2023-07-24 23:38:00,"1,0134534228597327",-11,353774
2023-07-24 23:39:00,"1,0136183787386788",-11,370674
2023-07-24 23:40:00,"1,013618365453827",-11,370664
2023-07-24 23:41:00,"1,0136183653192845",-11,370670
2023-07-24 23:42:00,"1,0136183653192847",-11,370670
2023-07-24 23:43:00,"1,0136183653192847",-11,370670
2023-07-24 23:44:00,"1,0136183653192847",-11,370670
2023-07-24 23:45:00,"1,0131784394113406",-11,325623
2023-07-24 23:46:00,"1,0129582380053974",-11,303051
2023-07-24 23:47:00,"1,0138939892265908",-11,398994
2023-07-24 23:48:00,"1,0146090232194809",-11,472206
2023-07-24 23:49:00,"1,01460877132043",-11,472128
2023-07-24 23:50:00,"1,0150488883891962",-11,517234
2023-07-24 23:51:00,"1,0152689468904927",-11,539762
2023-07-24 23:52:00,"1,0152689230471497",-11,539755
2023-07-24 23:53:00,"1,0152138622293012",-11,534115
2023-07-24 23:54:00,"1,0149388248260511",-11,505947
2023-07-24 23:55:00,"1,0149387875683944",-11,505936
2023-07-24 23:56:00,"1,0149387875683935",-11,505936
2023-07-24 23:57:00,"1,0149387875683935",-11,505936
2023-07-24 23:58:00,"1,0142788505826232",-11,438375
2023-07-24 23:59:00,"1,0139485543897888",-11,404506
2023-07-25 00:00:00,"1,0140036360595683",-11,410153
2023-07-25 00:01:00,"1,0135084808904775",-11,359438
2023-07-25 00:02:00,"1,0119690985564722",-11,201956
2023-07-25 00:03:00,"1,0126282934478428",-11,269290
2023-07-25 00:04:00,"1,0126280789369793",-11,269224
2023-07-25 00:05:00,"1,01174829986472",-11,179176
2023-07-25 00:06:00,"1,01130787311132",-11,134000
2023-07-25 00:07:00,"1,011307777229661",-11,133971
2023-07-25 00:08:00,"1,0113077772296566",-11,133971
2023-07-25 00:09:00,"1,013621004282066",-11,371482
2023-07-25 00:10:00,"1,013508366220133",-11,359403
2023-07-25 00:11:00,"1,0122987855198178",-11,235638
2023-07-25 00:12:00,"1,012298063028512",-11,235417
2023-07-25 00:13:00,"1,0125182167397964",-11,257974
2023-07-25 00:14:00,"1,0126282040911354",-11,269238
2023-07-25 00:15:00,"1,012628198119309",-11,269236
2023-07-25 00:16:00,"1,0141698019538572",-11,427400
2023-07-25 00:17:00,"1,0142786417766314",-11,438311
2023-07-25 00:18:00,"1,0142786359382805",-11,438309
2023-07-25 00:19:00,"1,0151041909260252",-11,522948
2023-07-25 00:20:00,"1,0156008739132936",-11,574156
2023-07-25 00:21:00,"1,0154889401057736",-11,562295
2023-07-25 00:22:00,"1,0151039282994931",-11,522868
2023-07-25 00:23:00,"1,015158919098775",-11,528486
2023-07-25 00:24:00,"1,0152689290058898",-11,539757
2023-07-25 00:25:00,"1,0152689230471494",-11,539755
2023-07-25 00:26:00,"1,0152689230471497",-11,539755
2023-07-25 00:27:00,"1,0152689230471497",-11,539755
2023-07-25 00:28:00,"1,0155989930159663",-11,573579
2023-07-25 00:29:00,"1,0159291285950631",-11,607398
2023-07-25 00:30:00,"1,016259264201022",-11,641218
2023-07-25 00:31:00,"1,016589280633859",-11,675025
2023-07-25 00:32:00,"1,016479227533821",-11,663741
2023-07-25 00:33:00,"1,0159292238137676",-11,607427
2023-07-25 00:34:00,"1,0152691375791791",-11,539821
2023-07-25 00:35:00,"1,015268923047172",-11,539755
