,mean voltage p.u.,P,Q
2023-09-27 22:00:00,"1,0151612504019434",-11,528726
2023-09-27 22:01:00,"1,0146110057106503",-11,472388
2023-09-27 22:02:00,"1,014610856472289",-11,472342
2023-09-27 22:03:00,"1,0146108564722782",-11,472342
2023-09-27 22:04:00,"1,0137305605145093",-11,382241
2023-09-27 22:05:00,"1,0150519365019577",-11,517702
2023-09-27 22:06:00,"1,0139508861453062",-11,404856
2023-09-27 22:07:00,"1,0130150741263957",-11,308956
2023-09-27 22:08:00,"1,0129595561700455",-11,303181
2023-09-27 22:09:00,"1,01279442594028",-11,286267
2023-09-27 22:10:00,"1,0116393150119318",-11,168068
2023-09-27 22:11:00,"1,0121340838567952",-11,218643
2023-09-27 22:12:00,"1,0115838371520016",-11,162281
2023-09-27 22:13:00,"1,0130156538912016",-11,309135
2023-09-27 22:14:00,"1,0122993586002462",-11,235601
2023-09-27 22:15:00,"1,0115287746432895",-11,156670
2023-09-27 22:16:00,"1,0111982505218646",-11,122762
2023-09-27 22:17:00,"1,0104279849476927",-11,43904
2023-09-27 22:18:00,"1,009657144518777",-11,0
2023-09-27 22:19:00,"1,0096571445187432",-11,0
2023-09-27 22:20:00,"1,0096571445187432",-11,0
2023-09-27 22:21:00,"1,009767293902285",-11,0
2023-09-27 22:22:00,"1,0106478015915257",-11,66362
2023-09-27 22:23:00,"1,0106478015915257",-11,66362
2023-09-27 22:24:00,"1,0105377464424736",-11,55088
2023-09-27 22:25:00,"1,0099873542507898",-11,0
2023-09-27 22:26:00,"1,0099873542507898",-11,0
2023-09-27 22:27:00,"1,0099873542507898",-11,0
2023-09-27 22:28:00,"1,0099873542507898",-11,0
2023-09-27 22:29:00,"1,0099873542507898",-11,0
2023-09-27 22:30:00,"1,0099873542507898",-11,0
2023-09-27 22:31:00,"1,0103176361280486",-11,32539
2023-09-27 22:32:00,"1,0103176361280486",-11,32539
2023-09-27 22:33:00,"1,0103176361280486",-11,32539
2023-09-27 22:34:00,"1,0103176361280486",-11,32539
2023-09-27 22:35:00,"1,0105377464424736",-11,55088
2023-09-27 22:36:00,"1,0106478015915257",-11,66362
2023-09-27 22:37:00,"1,0106478015915257",-11,66362
2023-09-27 22:38:00,"1,0106478015915257",-11,66362
2023-09-27 22:39:00,"1,0106478015915257",-11,66362
2023-09-27 22:40:00,"1,0106478015915257",-11,66362
2023-09-27 22:41:00,"1,0106478015915257",-11,66362
2023-09-27 22:42:00,"1,0106478015915257",-11,66362
2023-09-27 22:43:00,"1,010812943923076",-11,83279
2023-09-27 22:44:00,"1,0115284810609213",-11,156580
2023-09-27 22:45:00,"1,0116385361610836",-11,167854
2023-09-27 22:46:00,"1,0125193344760777",-11,258084
2023-09-27 22:47:00,"1,0126293895274885",-11,269358
2023-09-27 22:48:00,"1,0126293895274885",-11,269358
2023-09-27 22:49:00,"1,0149410213054868",-11,506165
2023-09-27 22:50:00,"1,0156014700582487",-11,573822
2023-09-27 22:51:00,"1,0156014700582487",-11,573822
2023-09-27 22:52:00,"1,0156014700582487",-11,573822
2023-09-27 22:53:00,"1,0154364473152333",-11,556917
2023-09-27 22:54:00,"1,0146108564746854",-11,472342
2023-09-27 22:55:00,"1,0146108564746854",-11,472342
2023-09-27 22:56:00,"1,0136201232194972",-11,370850
2023-09-27 22:57:00,"1,0143356594606625",-11,444151
2023-09-27 22:58:00,"1,0152713053240638",-11,540000
2023-09-27 22:59:00,"1,0147209114236582",-11,483617
2023-09-27 23:00:00,"1,0135100682166898",-11,359576
2023-09-27 23:01:00,"1,0132898389586922",-11,337016
2023-09-27 23:02:00,"1,0139502881955866",-11,404673
2023-09-27 23:03:00,"1,0139502881955866",-11,404673
2023-09-27 23:04:00,"1,0145006822841984",-11,461056
2023-09-27 23:05:00,"1,0144457144230774",-11,455425
2023-09-27 23:06:00,"1,0130697289153046",-11,314467
2023-09-27 23:07:00,"1,0127944124763535",-11,286263
2023-09-27 23:08:00,"1,0119688206653217",-11,201689
2023-09-27 23:09:00,"1,0117487104921103",-11,179140
2023-09-27 23:10:00,"1,011473513126956",-11,150949
2023-09-27 23:11:00,"1,0122991051207737",-11,235524
2023-09-27 23:12:00,"1,012189050053128",-11,224249
2023-09-27 23:13:00,"1,0122991051207737",-11,235524
2023-09-27 23:14:00,"1,0122991051207737",-11,235524
2023-09-27 23:15:00,"1,0125193344760777",-11,258084
2023-09-27 23:16:00,"1,012574302384338",-11,263715
2023-09-27 23:17:00,"1,0122991051207737",-11,235524
2023-09-27 23:18:00,"1,0122991051207737",-11,235524
2023-09-27 23:19:00,"1,0122991051207737",-11,235524
2023-09-27 23:20:00,"1,0123004544641665",-11,235938
2023-09-27 23:21:00,"1,0122991051210706",-11,235523
2023-09-27 23:22:00,"1,0122991051201713",-11,235523
2023-09-27 23:23:00,"1,012739540365882",-11,280662
2023-09-27 23:24:00,"1,012959578552399",-11,303188
2023-09-27 23:25:00,"1,0129595546482957",-11,303181
2023-09-27 23:26:00,"1,013069734907128",-11,314469
2023-09-27 23:27:00,"1,012959560641191",-11,303182
2023-09-27 23:28:00,"1,0131798078828878",-11,325749
2023-09-27 23:29:00,"1,0132898449334895",-11,337017
2023-09-27 23:30:00,"1,0131247102701055",-11,320102
2023-09-27 23:31:00,"1,0131797854357945",-11,325742
2023-09-27 23:32:00,"1,0136200996392293",-11,370867
2023-09-27 23:33:00,"1,0136200039818275",-11,370838
2023-09-27 23:34:00,"1,0131798795550528",-11,325771
2023-09-27 23:35:00,"1,0127944858180966",-11,286286
2023-09-27 23:36:00,"1,0119691572966307",-11,201792
2023-09-27 23:37:00,"1,0120790009417413",-11,212977
2023-09-27 23:38:00,"1,0125744236088992",-11,263752
2023-09-27 23:39:00,"1,012299142558144",-11,235535
2023-09-27 23:40:00,"1,0123019958034056",-11,236408
2023-09-27 23:41:00,"1,0122991051242995",-11,235523
2023-09-27 23:42:00,"1,0122991051201713",-11,235523
2023-09-27 23:43:00,"1,0122991051201713",-11,235523
2023-09-27 23:44:00,"1,0122991051201713",-11,235523
2023-09-27 23:45:00,"1,0128496492738934",-11,291952
2023-09-27 23:46:00,"1,0137855782176324",-11,387888
2023-09-27 23:47:00,"1,0137851460939802",-11,387755
2023-09-27 23:48:00,"1,0129598908909776",-11,303284
2023-09-27 23:49:00,"1,0129595546483514",-11,303181
2023-09-27 23:50:00,"1,0118593638336193",-11,190598
2023-09-27 23:51:00,"1,0116386794731782",-11,167874
2023-09-27 23:52:00,"1,01185878952678",-11,190422
2023-09-27 23:53:00,"1,0125745554203047",-11,263793
2023-09-27 23:54:00,"1,0126293910117576",-11,269359
2023-09-27 23:55:00,"1,0126293895267016",-11,269358
2023-09-27 23:56:00,"1,0124642607984895",-11,252445
2023-09-27 23:57:00,"1,0122991185935293",-11,235528
2023-09-27 23:58:00,"1,0122991051201713",-11,235523
2023-09-27 23:59:00,"1,0120790189149271",-11,212982
2023-09-28 00:00:00,"1,0106492677756826",-11,66787
2023-09-28 00:01:00,"1,0098222493848132",-11,0
2023-09-28 00:02:00,"1,0089971815973735",-11,0
2023-09-28 00:03:00,"1,0076771084132317",-11,0
2023-09-28 00:04:00,"1,0070161604038523",-11,0
2023-09-28 00:05:00,"1,0070159434995525",-11,0
2023-09-28 00:06:00,"1,0070159434995287",-11,0
2023-09-28 00:07:00,"1,0083925583495152",-11,0
2023-09-28 00:08:00,"1,0093274870030062",-11,0
2023-09-28 00:09:00,"1,0100974065555124",-11,9979
2023-09-28 00:10:00,"1,0103176601416084",-11,32547
2023-09-28 00:11:00,"1,0103176361280377",-11,32539
2023-09-28 00:12:00,"1,0098223685940622",-11,0
2023-09-28 00:13:00,"1,0089971816947791",-11,0
2023-09-28 00:14:00,"1,0086668078457106",-11,0
2023-09-28 00:15:00,"1,0091621899269536",-11,0
2023-09-28 00:16:00,"1,0096573851644437",-11,0
2023-09-28 00:17:00,"1,0096572637280403",-11,0
2023-09-28 00:18:00,"1,0092171198004296",-11,0
2023-09-28 00:19:00,"1,0087218308187271",-11,0
2023-09-28 00:20:00,"1,0086672394872087",-11,0
2023-09-28 00:21:00,"1,0092722798688756",-11,0
2023-09-28 00:22:00,"1,0096573371534974",-11,0
2023-09-28 00:23:00,"1,0096572637280354",-11,0
2023-09-28 00:24:00,"1,0094371081779092",-11,0
2023-09-28 00:25:00,"1,0093270599953312",-11,0
2023-09-28 00:26:00,"1,0093270539959862",-11,0
2023-09-28 00:27:00,"1,0103176361281307",-11,32539
2023-09-28 00:28:00,"1,0106478555517424",-11,66379
2023-09-28 00:29:00,"1,0107579819721493",-11,77650
2023-09-28 00:30:00,"1,0121900633620435",-11,224561
2023-09-28 00:31:00,"1,012629484889856",-11,269387
2023-09-28 00:32:00,"1,0118041343598398",-11,184887
2023-09-28 00:33:00,"1,0101538421116156",-11,16036
2023-09-28 00:34:00,"1,0107581566670132",-11,77704
2023-09-28 00:35:00,"1,0113085206348726",-11,134077
2023-09-28 00:36:00,"1,0120792885425849",-11,213065
2023-09-28 00:37:00,"1,012133964375762",-11,218607
2023-09-28 00:38:00,"1,0118037323216649",-11,184788
2023-09-28 00:39:00,"1,01163866886637",-11,167870
2023-09-28 00:40:00,"1,011638870917493",-11,167932
2023-09-28 00:41:00,"1,0114184499790018",-11,145313
2023-09-28 00:42:00,"1,0113083768357956",-11,134033
2023-09-28 00:43:00,"1,0110330916744197",-11,105839
2023-09-28 00:44:00,"1,0109780877389092",-11,100197
2023-09-28 00:45:00,"1,0109780862422788",-11,100197
2023-09-28 00:46:00,"1,0109780862422788",-11,100197
2023-09-28 00:47:00,"1,0111432420403024",-11,117118
2023-09-28 00:48:00,"1,0113083843307",-11,134036
2023-09-28 00:49:00,"1,0109781401929878",-11,100213
2023-09-28 00:50:00,"1,0100979094094042",-11,10109
