,mean voltage p.u.,P,Q
2023-06-30 22:00:00,"1,0144447087962607",-11,0
2023-06-30 22:01:00,"1,0152704497134144",-11,0
2023-06-30 22:02:00,"1,014390135293846",-11,0
2023-06-30 22:03:00,"1,0115321717438817",-11,0
2023-06-30 22:04:00,"1,0096590013297453",-11,0
2023-06-30 22:05:00,"1,0066352006371673",-11,0
2023-06-30 22:06:00,"1,0063555628871477",-11,0
2023-06-30 22:07:00,"1,0061354877557889",-11,0
2023-06-30 22:08:00,"1,0077324646206327",-11,0
2023-06-30 22:09:00,"1,0064114656881815",-11,0
2023-06-30 22:10:00,"1,0060253883848642",-11,0
2023-06-30 22:11:00,"1,006025314303392",-11,0
2023-06-30 22:12:00,"1,0058602229855425",-11,0
2023-06-30 22:13:00,"1,005695237313694",-11,0
2023-06-30 22:14:00,"1,0056952237806325",-11,0
2023-06-30 22:15:00,"1,0056952237806325",-11,0
2023-06-30 22:16:00,"1,0056952237806325",-11,0
2023-06-30 22:17:00,"1,0056952237806325",-11,0
2023-06-30 22:18:00,"1,0065759697068366",-11,0
2023-06-30 22:19:00,"1,00685075692134",-11,0
2023-06-30 22:20:00,"1,005915284129137",-11,0
2023-06-30 22:21:00,"1,0056952237806325",-11,0
2023-06-30 22:22:00,"1,0056952237806325",-11,0
2023-06-30 22:23:00,"1,0055850743970904",-11,0
2023-06-30 22:24:00,"1,005034804316539",-11,0
2023-06-30 22:25:00,"1,005034804316539",-11,0
2023-06-30 22:26:00,"1,005365014048586",-11,0
2023-06-30 22:27:00,"1,0056952237806325",-11,0
2023-06-30 22:28:00,"1,0056952237806325",-11,0
2023-06-30 22:29:00,"1,0056952237806325",-11,0
2023-06-30 22:30:00,"1,0061905383787022",-11,0
2023-06-30 22:31:00,"1,0066857337674824",-11,0
2023-06-30 22:32:00,"1,007731199236814",-11,0
2023-06-30 22:33:00,"1,0093270539959864",-11,0
2023-06-30 22:34:00,"1,0093270539959864",-11,0
2023-06-30 22:35:00,"1,0093270539959864",-11,0
2023-06-30 22:36:00,"1,0080614089688609",-11,0
2023-06-30 22:37:00,"1,0076762437543323",-11,0
2023-06-30 22:38:00,"1,0071810483655526",-11,0
2023-06-30 22:39:00,"1,0068508386335056",-11,0
2023-06-30 22:40:00,"1,007786273928585",-11,0
2023-06-30 22:41:00,"1,0080063342770895",-11,0
2023-06-30 22:42:00,"1,0086667537411829",-11,0
2023-06-30 22:43:00,"1,0086667537411829",-11,0
2023-06-30 22:44:00,"1,00899684426394",-11,0
2023-06-30 22:45:00,"1,009657263728033",-11,0
2023-06-30 22:46:00,"1,009657263728033",-11,0
2023-06-30 22:47:00,"1,009657263728033",-11,0
2023-06-30 22:48:00,"1,0094921588620098",-11,0
2023-06-30 22:49:00,"1,0093270539959864",-11,0
2023-06-30 22:50:00,"1,0093270539959864",-11,0
