,mean voltage p.u.,P,Q
2023-06-28 22:00:00,"1,005034804316539",-11,0
2023-06-28 22:01:00,"1,0056954407650922",-11,0
2023-06-28 22:02:00,"1,0056952237806551",-11,0
2023-06-28 22:03:00,"1,0055851996254197",-11,0
2023-06-28 22:04:00,"1,0044851366037926",-11,0
2023-06-28 22:05:00,"1,002230914328652",-11,0
2023-06-28 22:06:00,"1,001733307425331",-11,0
2023-06-28 22:07:00,"1,0017331838332388",-11,0
2023-06-28 22:08:00,"1,0017331838332315",-11,0
2023-06-28 22:09:00,"1,0017331838332313",-11,0
2023-06-28 22:10:00,"1,0019532683531207",-11,0
2023-06-28 22:11:00,"1,0023935807940885",-11,0
2023-06-28 22:12:00,"1,0028338206260563",-11,0
2023-06-28 22:13:00,"1,0030538084664946",-11,0
2023-06-28 22:14:00,"1,0030537843428389",-11,0
2023-06-28 22:15:00,"1,0030537843428389",-11,0
2023-06-28 22:16:00,"1,0030537843428389",-11,0
2023-06-28 22:17:00,"1,0030537843428389",-11,0
2023-06-28 22:18:00,"1,0032189027971743",-11,0
2023-06-28 22:19:00,"1,0036042476113576",-11,0
2023-06-28 22:20:00,"1,0045396089277585",-11,0
2023-06-28 22:21:00,"1,005034804316539",-11,0
2023-06-28 22:22:00,"1,005034804316539",-11,0
2023-06-28 22:23:00,"1,006025314303389",-11,0
2023-06-28 22:24:00,"1,0062454938611831",-11,0
2023-06-28 22:25:00,"1,0066856145581924",-11,0
2023-06-28 22:26:00,"1,0071258544644914",-11,0
2023-06-28 22:27:00,"1,0080063342770893",-11,0
2023-06-28 22:28:00,"1,0080063342770893",-11,0
2023-06-28 22:29:00,"1,0081714391431127",-11,0
2023-06-28 22:30:00,"1,0084465741833883",-11,0
2023-06-28 22:31:00,"1,0086667537411826",-11,0
2023-06-28 22:32:00,"1,0086667537411826",-11,0
2023-06-28 22:33:00,"1,0078963041028373",-11,0
2023-06-28 22:34:00,"1,0073460340222855",-11,0
2023-06-28 22:35:00,"1,0073460340222855",-11,0
2023-06-28 22:36:00,"1,0073460340222855",-11,0
2023-06-28 22:37:00,"1,0078963041028373",-11,0
2023-06-28 22:38:00,"1,0085567235669302",-11,0
2023-06-28 22:39:00,"1,0086667537411826",-11,0
2023-06-28 22:40:00,"1,0086667537411826",-11,0
2023-06-28 22:41:00,"1,0086667537411826",-11,0
2023-06-28 22:42:00,"1,0086667537411826",-11,0
2023-06-28 22:43:00,"1,0086667537411826",-11,0
2023-06-28 22:44:00,"1,0080063342770893",-11,0
2023-06-28 22:45:00,"1,0080063342770893",-11,0
2023-06-28 22:46:00,"1,007951378794608",-11,0
2023-06-28 22:47:00,"1,0072360038480337",-11,0
2023-06-28 22:48:00,"1,0073460340222855",-11,0
2023-06-28 22:49:00,"1,0074560641965382",-11,0
2023-06-28 22:50:00,"1,0080063342770893",-11,0
2023-06-28 22:51:00,"1,0080063342770893",-11,0
2023-06-28 22:52:00,"1,0082265138348836",-11,0
2023-06-28 22:53:00,"1,0088317393979165",-11,0
2023-06-28 22:54:00,"1,0089968442639397",-11,0
2023-06-28 22:55:00,"1,0080063342770893",-11,0
2023-06-28 22:56:00,"1,0072909593305148",-11,0
2023-06-28 22:57:00,"1,0070158242902392",-11,0
2023-06-28 22:58:00,"1,0071259736737812",-11,0
2023-06-28 22:59:00,"1,0070158242902392",-11,0
2023-06-28 23:00:00,"1,0070708989820103",-11,0
2023-06-28 23:01:00,"1,0073460340222855",-11,0
2023-06-28 23:02:00,"1,0075660943707905",-11,0
2023-06-28 23:03:00,"1,0076762437543323",-11,0
2023-06-28 23:04:00,"1,0078963041028373",-11,0
2023-06-28 23:05:00,"1,0055850743970902",-11,0
2023-06-28 23:06:00,"1,0060802697858706",-11,0
2023-06-28 23:07:00,"1,0074560641965382",-11,0
2023-06-28 23:08:00,"1,0074560641965382",-11,0
2023-06-28 23:09:00,"1,0058052539548843",-11,0
2023-06-28 23:10:00,"1,0056952237806318",-11,0
2023-06-28 23:11:00,"1,0063555240354356",-11,0
2023-06-28 23:12:00,"1,0074560641965382",-11,0
2023-06-28 23:13:00,"1,0076761245450427",-11,0
2023-06-28 23:14:00,"1,0076761245450427",-11,0
2023-06-28 23:15:00,"1,0073460340222855",-11,0
2023-06-28 23:16:00,"1,0070158242902392",-11,0
2023-06-28 23:17:00,"1,0070158242902392",-11,0
2023-06-28 23:18:00,"1,0086116790494115",-11,0
2023-06-28 23:19:00,"1,0093270539959862",-11,0
2023-06-28 23:20:00,"1,0093272701210965",-11,0
2023-06-28 23:21:00,"1,0093270539960093",-11,0
2023-06-28 23:22:00,"1,0083370300310006",-11,0
2023-06-28 23:23:00,"1,008006388504832",-11,0
2023-06-28 23:24:00,"1,007676297819246",-11,0
2023-06-28 23:25:00,"1,0085019868826957",-11,0
2023-06-28 23:26:00,"1,0089970849414212",-11,0
2023-06-28 23:27:00,"1,0089969634732363",-11,0
2023-06-28 23:28:00,"1,0082268079847507",-11,0
2023-06-28 23:29:00,"1,0080063583831018",-11,0
2023-06-28 23:30:00,"1,0080614104721084",-11,0
2023-06-28 23:31:00,"1,0083365815556895",-11,0
2023-06-28 23:32:00,"1,0083365440091367",-11,0
2023-06-28 23:33:00,"1,008336544009136",-11,0
2023-06-28 23:34:00,"1,008336544009136",-11,0
2023-06-28 23:35:00,"1,008336544009136",-11,0
2023-06-28 23:36:00,"1,008336544009136",-11,0
2023-06-28 23:37:00,"1,008336544009136",-11,0
