,mean voltage p.u.,P,Q
2023-08-12 22:00:00,"1,0066857337674822",-11,0
2023-08-12 22:01:00,"1,0096615298405756",-11,0
2023-08-12 22:02:00,"1,0122153014452162",85171,186843283
2023-08-12 22:03:00,"1,0108247151292724",33354,69748031
2023-08-12 22:04:00,"1,0086668518277015",21816,19804
2023-08-12 22:05:00,"1,0061386401202184",-11,49
2023-08-12 22:06:00,"1,0043760506557675",-11,0
2023-08-12 22:07:00,"1,0047047675681915",-11,0
2023-08-12 22:08:00,"1,005475339496705",-11,0
2023-08-12 22:09:00,"1,005695247823538",-11,0
2023-08-12 22:10:00,"1,0048701573972632",-11,0
2023-08-12 22:11:00,"1,0040447528131196",-11,0
2023-08-12 22:12:00,"1,003714258218174",-11,0
2023-08-12 22:13:00,"1,0030540016485787",-11,0
2023-08-12 22:14:00,"1,003053784342862",-11,0
2023-08-12 22:15:00,"1,0029988303658122",-11,0
2023-08-12 22:16:00,"1,00206371068005",-11,0
2023-08-12 22:17:00,"1,001513155601915",-11,0
2023-08-12 22:18:00,"1,001402980161995",-11,0
2023-08-12 22:19:00,"1,002173720115374",-11,0
2023-08-12 22:20:00,"1,0022834539137824",-11,0
2023-08-12 22:21:00,"1,002063393565278",-11,0
2023-08-12 22:22:00,"1,001623153658979",-11,0
2023-08-12 22:23:00,"1,0033839940748848",-11,0
2023-08-12 22:24:00,"1,0053650140485857",-11,0
2023-08-12 22:25:00,"1,0053650140485857",-11,0
2023-08-12 22:26:00,"1,0047047137937817",-11,0
2023-08-12 22:27:00,"1,0032188892088618",-11,0
2023-08-12 22:28:00,"1,0023934840880349",-11,0
2023-08-12 22:29:00,"1,0022283792220117",-11,0
2023-08-12 22:30:00,"1,002063274355988",-11,0
2023-08-12 22:31:00,"1,0044845342359876",-11,0
2023-08-12 22:32:00,"1,0033839940748848",-11,0
2023-08-12 22:33:00,"1,0044295787535062",-11,0
2023-08-12 22:34:00,"1,0050349235258285",-11,0
2023-08-12 22:35:00,"1,0050349235258285",-11,0
2023-08-12 22:36:00,"1,005254983874333",-11,0
2023-08-12 22:37:00,"1,0050349235258285",-11,0
2023-08-12 22:38:00,"1,0047047137937817",-11,0
2023-08-12 22:39:00,"1,0043745040617351",-11,0
2023-08-12 22:40:00,"1,0047047137937817",-11,0
2023-08-12 22:41:00,"1,0053650140485857",-11,0
2023-08-12 22:42:00,"1,0030539035521278",-11,0
2023-08-12 22:43:00,"1,0039342641554363",-11,0
2023-08-12 22:44:00,"1,0044295787535062",-11,0
2023-08-12 22:45:00,"1,004044413538978",-11,0
2023-08-12 22:46:00,"1,004044413538978",-11,0
2023-08-12 22:47:00,"1,0038242339811838",-11,0
2023-08-12 22:48:00,"1,0032190084181514",-11,0
2023-08-12 22:49:00,"1,0040442943296886",-11,0
2023-08-12 22:50:00,"1,005034804316539",-11,0
2023-08-12 22:51:00,"1,002283573123072",-11,0
2023-08-12 22:52:00,"0,9971107840263822",-10,0
2023-08-12 22:53:00,"0,9997522234641758",-10,0
2023-08-12 22:54:00,"1,0010728835784275",-11,0
2023-08-12 22:55:00,"1,0004124641143344",-11,0
2023-08-12 22:56:00,"1,0004124641143344",-11,0
2023-08-12 22:57:00,"1,0026136636458292",-11,0
2023-08-12 22:58:00,"1,0058052539548843",-11,0
2023-08-12 22:59:00,"1,0080063342770893",-11,0
2023-08-12 23:00:00,"1,0080063342770893",-11,0
2023-08-12 23:01:00,"1,0085567235669302",-11,0
2023-08-12 23:02:00,"1,0094370841702385",-11,0
2023-08-12 23:03:00,"1,0099873542507898",-11,0
2023-08-12 23:04:00,"1,0096571445187432",-11,0
2023-08-12 23:05:00,"1,008501648875159",-11,0
2023-08-12 23:06:00,"1,0080063342770893",-11,0
2023-08-12 23:07:00,"1,0074560641965382",-11,0
2023-08-12 23:08:00,"1,0073460340222855",-11,0
2023-08-12 23:09:00,"1,0076762437543323",-11,0
2023-08-12 23:10:00,"1,0080063342770893",-11,0
2023-08-12 23:11:00,"1,008336544009136",-11,0
2023-08-12 23:12:00,"1,008336544009136",-11,0
2023-08-12 23:13:00,"1,0088868140896872",-11,0
2023-08-12 23:14:00,"1,0102675164344823",1236,22572755
2023-08-12 23:15:00,"1,0107311375020596",9300,61685316
2023-08-12 23:16:00,"1,0108238522701498",11809,69506135
2023-08-12 23:17:00,"1,009217023821734",-11,0
2023-08-12 23:18:00,"1,0086116790494115",-11,0
2023-08-12 23:19:00,"1,0099873542507898",-11,0
2023-08-12 23:20:00,"1,0106848362213812",8158,57777399
2023-08-12 23:21:00,"1,0116589029750502",16467,140057497
2023-08-12 23:22:00,"1,010824133554338",12064,69598531
2023-08-12 23:23:00,"1,010545734609549",1344,46056561
2023-08-12 23:24:00,"1,0101748856537232",2381,14768993
2023-08-12 23:25:00,"1,0099873542595776",-11,1
2023-08-12 23:26:00,"1,0099873542507898",-11,0
2023-08-12 23:27:00,"1,0099873542507898",-11,0
2023-08-12 23:28:00,"1,0099873542507898",-11,0
2023-08-12 23:29:00,"1,010870261283351",13176,73420748
2023-08-12 23:30:00,"1,0108238065758268",-11,69514279
2023-08-12 23:31:00,"1,0100823915587611",9531,6997912
2023-08-12 23:32:00,"1,0089419506986157",13825,12446
2023-08-12 23:33:00,"1,008116821339045",-11,10
2023-08-12 23:34:00,"1,00668674952855",-11,0
2023-08-12 23:35:00,"1,0068507327779863",-11,0
2023-08-12 23:36:00,"1,0073461558493428",-11,0
2023-08-12 23:37:00,"1,0073460340222933",-11,0
2023-08-12 23:38:00,"1,0073460340222855",-11,0
2023-08-12 23:39:00,"1,007346034022286",-11,0
2023-08-12 23:40:00,"1,0076815511552226",-11,0
2023-08-12 23:41:00,"1,008281647896501",-11,0
2023-08-12 23:42:00,"1,0108238527381848",11809,69505927
2023-08-12 23:43:00,"1,010823805560515",-11,69514018
2023-08-12 23:44:00,"1,010823805560513",-11,69514018
2023-08-12 23:45:00,"1,010823805560513",-11,69514018
2023-08-12 23:46:00,"1,0113339977243427",4507,112585583
2023-08-12 23:47:00,"1,0113802863085266",-11,116470376
2023-08-12 23:48:00,"1,0112874698441054",-11,108638995
2023-08-12 23:49:00,"1,0111020509540591",-11,92995337
2023-08-12 23:50:00,"1,0111020347779256",-11,92991169
2023-08-12 23:51:00,"1,0108702343869411",-11,73436093
2023-08-12 23:52:00,"1,0108238065754394",-11,69514280
2023-08-12 23:53:00,"1,0108238055605132",-11,69514018
2023-08-12 23:54:00,"1,0109165168305445",-11,77337753
2023-08-12 23:55:00,"1,0111020509778257",-11,92995344
2023-08-12 23:56:00,"1,0111020347779256",-11,92991169
2023-08-12 23:57:00,"1,0112874819719109",-11,108642120
2023-08-12 23:58:00,"1,0113802893532238",-11,116471161
2023-08-12 23:59:00,"1,0107312989473856",7275,61742590
2023-08-13 00:00:00,"1,00965731766918",-11,0
2023-08-13 00:01:00,"1,0093271080113893",-11,0
2023-08-13 00:02:00,"1,0086669697602308",-11,0
2023-08-13 00:03:00,"1,0077866584088797",-11,0
2023-08-13 00:04:00,"1,0070161190873737",-11,0
2023-08-13 00:05:00,"1,0070158242902825",-11,0
2023-08-13 00:06:00,"1,0070158242902394",-11,0
2023-08-13 00:07:00,"1,0070158242902392",-11,0
2023-08-13 00:08:00,"1,0070158242902392",-11,0
2023-08-13 00:09:00,"1,0070158242902392",-11,0
2023-08-13 00:10:00,"1,0072360279186767",-11,0
2023-08-13 00:11:00,"1,0076762206918424",-11,0
2023-08-13 00:12:00,"1,0076761245450476",-11,0
2023-08-13 00:13:00,"1,0072359808061386",-11,0
2023-08-13 00:14:00,"1,0061360649054896",-11,0
2023-08-13 00:15:00,"1,0060253203988352",-11,0
2023-08-13 00:16:00,"1,0060253143033893",-11,0
2023-08-13 00:17:00,"1,0060253143033893",-11,0
2023-08-13 00:18:00,"1,0060253143033893",-11,0
2023-08-13 00:19:00,"1,0066859505383043",-11,0
2023-08-13 00:20:00,"1,0074562143925987",-11,0
2023-08-13 00:21:00,"1,007786327995102",-11,0
2023-08-13 00:22:00,"1,0070161188347984",-11,0
2023-08-13 00:23:00,"1,007676460118749",-11,0
2023-08-13 00:24:00,"1,0081715607120112",-11,0
2023-08-13 00:25:00,"1,0086668753554722",-11,0
2023-08-13 00:26:00,"1,0095476177393703",-11,0
2023-08-13 00:27:00,"1,0096572696823052",-11,0
2023-08-13 00:28:00,"1,0104065131101108",2869,34299734
2023-08-13 00:29:00,"1,0105920138466526",-11,49958103
2023-08-13 00:30:00,"1,0108238308621624",-11,69520539
2023-08-13 00:31:00,"1,0108238055605137",-11,69514018
2023-08-13 00:32:00,"1,0095472448386484",2500,2282
2023-08-13 00:33:00,"1,0093270780087342",-11,0
2023-08-13 00:34:00,"1,0099875702187973",-11,0
2023-08-13 00:35:00,"1,0105456181811625",5176,46035198
2023-08-13 00:36:00,"1,0105455976573745",-11,46038666
2023-08-13 00:37:00,"1,0099873542593238",-11,1
2023-08-13 00:38:00,"1,0092173175922354",-11,0
2023-08-13 00:39:00,"1,0094371080983602",-11,0
2023-08-13 00:40:00,"1,009767296879719",-11,603
2023-08-13 00:41:00,"1,009767293902285",-11,0
2023-08-13 00:42:00,"1,010638325883944",7088,53856003
2023-08-13 00:43:00,"1,0108238217623011",-11,69518195
2023-08-13 00:44:00,"1,0108238055605134",-11,69514018
2023-08-13 00:45:00,"1,0108238055605132",-11,69514018
2023-08-13 00:46:00,"1,010823805560513",-11,69514018
2023-08-13 00:47:00,"1,0108238055605132",-11,69514018
2023-08-13 00:48:00,"1,0108238055605132",-11,69514018
