Load,Terminal
Load 792_1,Urban LV B29
Load 792_2,Urban LV B30
Load 792_3,Urban LV B31
Load 792_4,Urban LV B32
Load 792_5,Urban LV B33
Load 792_6,Urban LV B29
Load 792_7,Urban LV B31
Load 792_8,Urban LV B33
Load 758_1,Urban LV B29(1)
Load 758_10,Urban LV B46(1)
Load 758_11,Urban LV B46(2)
Load 758_12,Urban LV B47(1)
Load 758_13,Urban LV B49(1)
Load 758_14,Urban LV B50(1)
Load 758_15,Urban LV B30(1)
Load 758_16,Urban LV B34(1)
Load 758_17,Urban LV B34(1)
Load 758_19,Urban LV B37(1)
Load 758_2,Urban LV B39(1)
Load 758_21,Urban LV B38(1)
Load 758_23,Urban LV B31(1)
Load 758_24,Urban LV B32(1)
Load 758_25,Urban LV B33(1)
Load 758_26,Urban LV B29(1)
Load 758_27,Urban LV B31(1)
Load 758_28,Urban LV B33(1)
Load 758_29,Urban LV B37(1)
Load 758_31,Urban LV B38(1)
Load 758_4,Urban LV B40(1)
Load 758_5,Urban LV B41(1)
Load 758_6,Urban LV B42(1)
Load 758_7,Urban LV B43(1)
Load 758_8,Urban LV B45(1)
Load 758_9,Urban LV B45(2)
Load 758_18,Urban LV B36(2)
Load 758_20,Urban LV B37(2)
Load 758_22,Urban LV B38(2)
Load 758_3,Urban LV B39(2)
Load 758_30,Urban LV B37(2)
Load 758_32,Urban LV B38(2)
