node;vm;va;substation;subnet;voltLvl
MV1.101 Bus 52;1.025;0;NULL;MV1.101_LV4.101;5
LV4.101 Bus 1;0.997924;0.759925;NULL;LV4.101;7
LV4.101 Bus 35;0.999836;0.725838;NULL;LV4.101;7
LV4.101 Bus 14;0.999265;0.738291;NULL;LV4.101;7
LV4.101 Bus 22;0.992187;0.733432;NULL;LV4.101;7
LV4.101 Bus 4;0.994645;0.819089;NULL;LV4.101;7
LV4.101 Bus 16;0.995525;0.731948;NULL;LV4.101;7
LV4.101 Bus 25;0.994471;0.819183;NULL;LV4.101;7
LV4.101 Bus 26;1.00368;0.681109;NULL;LV4.101;7
LV4.101 Bus 9;1.00359;0.648412;NULL;LV4.101;7
LV4.101 Bus 21;0.997967;0.730791;NULL;LV4.101;7
LV4.101 Bus 29;0.996982;0.771492;NULL;LV4.101;7
LV4.101 Bus 12;0.998629;0.747629;NULL;LV4.101;7
LV4.101 Bus 23;0.993016;0.733126;NULL;LV4.101;7
LV4.101 Bus 31;1.00614;0.647372;NULL;LV4.101;7
LV4.101 Bus 32;1.00643;0.647247;NULL;LV4.101;7
LV4.101 Bus 33;0.996017;0.786482;NULL;LV4.101;7
LV4.101 Bus 17;0.994747;0.813346;NULL;LV4.101;7
LV4.101 Bus 28;0.995209;0.801667;NULL;LV4.101;7
LV4.101 Bus 2;1.00347;0.648431;NULL;LV4.101;7
LV4.101 Bus 3;0.99394;0.823711;NULL;LV4.101;7
LV4.101 Bus 5;1.00603;0.651827;NULL;LV4.101;7
LV4.101 Bus 6;0.994595;0.819116;NULL;LV4.101;7
LV4.101 Bus 7;0.996431;0.779632;NULL;LV4.101;7
LV4.101 Bus 24;0.993203;0.733048;NULL;LV4.101;7
LV4.101 Bus 34;0.994066;0.823619;NULL;LV4.101;7
LV4.101 Bus 10;0.993639;0.823974;NULL;LV4.101;7
LV4.101 Bus 11;0.994617;0.811307;NULL;LV4.101;7
LV4.101 Bus 13;0.994504;0.819165;NULL;LV4.101;7
LV4.101 Bus 15;1.00634;0.647288;NULL;LV4.101;7
LV4.101 Bus 30;0.993148;0.733071;NULL;LV4.101;7
LV4.101 Bus 8;0.9948;0.807802;NULL;LV4.101;7
LV4.101 Bus 18;1.00239;0.697917;NULL;LV4.101;7
LV4.101 Bus 19;0.994326;0.819034;NULL;LV4.101;7
LV4.101 Bus 20;1.00379;0.648318;NULL;LV4.101;7
LV4.101 Bus 36;1.0202;1.21089;NULL;LV4.101;7
LV4.101 Bus 37;1.02733;1.46837;NULL;LV4.101;7
LV4.101 Bus 38;1.03243;1.6797;NULL;LV4.101;7
LV4.101 Bus 39;1.03366;1.75307;NULL;LV4.101;7
LV4.101 Bus 40;1.03841;1.89502;NULL;LV4.101;7
LV4.101 Bus 41;1.04149;1.97047;NULL;LV4.101;7
LV4.101 Bus 42;1.03207;1.75339;NULL;LV4.101;7
LV4.101 Bus 43;1.03144;1.75347;NULL;LV4.101;7
LV4.101 Bus 44;1.03111;1.75354;NULL;LV4.101;7
